"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","23/184","100/8244",0.23,10.305,14.14430248694,1.47873048458962e-17,3.57852777270689e-15,3.39329732253198e-15,"1300/1308/1303/1301/1277/117247/1278/1293/1290/1506/1281/51032/63036/5646/23436/1504/10136/1358/1360/1357/440387/5644/5645",23
"hsa04972","Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","21/184","97/8244",0.216494845360825,9.6999103541013,13.0222439560898,1.53199739365118e-15,1.85371684631792e-13,1.7577654306103e-13,"1506/5407/279/5408/51032/5319/63036/5406/1056/5646/23436/1504/10136/1358/1360/1357/440387/5644/8671/5645/1080",21
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","15/184","88/8244",0.170454545454545,7.637104743083,9.45726240985249,7.33696942417737e-10,5.91848866883641e-08,5.61213801568655e-08,"3914/3918/3673/3691/3675/2335/22801/3909/3694/7058/1277/1311/1278/1293/948",15
"hsa04518",NA,NA,"hsa04518","Integrin signaling","17/184","152/8244",0.111842105263158,5.01101258581236,7.54105176821248,3.99818635138062e-08,2.41890274258528e-06,2.29369638052888e-06,"3914/3918/3673/3691/3675/2335/22801/3909/55612/3694/7058/4233/1277/1311/1950/1278/1293",17
"hsa04382",NA,NA,"hsa04382","Cornified envelope formation","18/184","212/8244",0.0849056603773585,3.80414273995078,6.24942755459604,1.05110867286871e-06,5.08736597668456e-05,4.8240355933764e-05,"3914/3918/6282/3880/3691/140576/1308/3909/2053/3872/3855/57402/29943/51208/286887/1830/3853/25984",18
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","17/184","200/8244",0.085,3.80836956521739,6.0745941176595,2.09613334759517e-06,8.45440450196719e-05,8.01679069782013e-05,"3914/3918/3673/3691/3675/2335/22801/3909/3694/7058/4233/1277/1311/5063/1950/1278/1293",17
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","17/184","231/8244",0.0735930735930736,3.29728966685488,5.350670632582,1.46037814978602e-05,0.000504873588926026,0.000478740506245644,"3673/3691/3675/2335/7273/22801/3694/7058/1462/1301/1277/1311/633/1278/1293/1290/1281",17
"hsa04975","Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","7/184","43/8244",0.162790697674419,7.29373104145602,6.25162676786169,4.01995416015768e-05,0.0012160361334477,0.00115309211436102,"5407/5408/948/1208/5319/5406/1056",7
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","19/184","353/8244",0.0538243626062323,2.41156546372706,4.09549495809594,0.000322234582948917,0.00866452989707087,0.00821603965881449,"3914/3918/3673/3691/3675/1946/2335/22801/3909/3694/7058/4233/1277/1311/1950/1278/1293/3561/57818",19
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","17/184","322/8244",0.0527950310559006,2.36544693491763,3.7763251785844,0.000832802445931415,0.0201538191915402,0.0191106245487419,"3914/3918/3673/3691/5315/3675/2335/22801/3909/3694/7058/1277/1311/1950/1278/1293/11317",17
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","7/184","74/8244",0.0945945945945946,4.2382491186839,4.22765099785834,0.0012550665747678,0.0276114646448917,0.0261822500764958,"33/51703/5468/4312/4973/948/2167",7
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","8/184","101/8244",0.0792079207920792,3.54885923374946,3.89402164567376,0.00182263514248038,0.0367564753733542,0.0348539000930458,"3914/3918/2335/3909/1277/1278/1281/6317",8
"hsa00561","Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","6/184","63/8244",0.0952380952380952,4.26708074534162,3.93288264084719,0.00269558120596819,0.0484683125757944,0.0459595134472517,"129642/196051/5407/5408/5406/1056",6
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","7/184","85/8244",0.0823529411764706,3.68976982097187,3.7660853085759,0.00280395196719472,0.0484683125757944,0.0459595134472517,"5328/1604/5327/727/2160/729/730",7
