"Gene","Module"
"ABCC2","cyan"
"ABCG5","cyan"
"ABCG8","cyan"
"ADGRG4","cyan"
"ADH4","cyan"
"ADH6","cyan"
"ALPI","cyan"
"ANKRD40CL","cyan"
"APOA4","cyan"
"APOB","cyan"
"APOC3","cyan"
"AQP10","cyan"
"AQP11","cyan"
"ASAH2B","cyan"
"ATOH1","cyan"
"BTNL3","cyan"
"C17orf78","cyan"
"CCL25","cyan"
"CEACAM20","cyan"
"CHP2","cyan"
"CLCA1","cyan"
"CPS1-IT1","cyan"
"CREB3L3","cyan"
"CYP3A4","cyan"
"CYP4F2","cyan"
"DEFA5","cyan"
"DEFA6","cyan"
"DNAJB7","cyan"
"ENPP3","cyan"
"FABP1","cyan"
"FABP2","cyan"
"FOLH1","cyan"
"FOLH1B","cyan"
"G6PC1","cyan"
"GALNT8","cyan"
"GBA3","cyan"
"GIP","cyan"
"GPA33","cyan"
"GUCY2C","cyan"
"ISX","cyan"
"ITLN2","cyan"
"KCNJ13","cyan"
"KRT20","cyan"
"LCT","cyan"
"LRRC19","cyan"
"MEP1A","cyan"
"MEP1B","cyan"
"MGAM","cyan"
"MOGAT2","cyan"
"MOGAT3","cyan"
"MS4A10","cyan"
"MTTP","cyan"
"MYRFL","cyan"
"NAT2","cyan"
"NAT8B","cyan"
"NPY6R","cyan"
"NXPE1","cyan"
"OTC","cyan"
"OTOP3","cyan"
"PLA2G12B","cyan"
"RBP2","cyan"
"S100G","cyan"
"SI","cyan"
"SLC10A2","cyan"
"SLC13A2","cyan"
"SLC26A3","cyan"
"SLC28A2","cyan"
"SLC30A10","cyan"
"SLC51A","cyan"
"SLC51B","cyan"
"SLC6A19","cyan"
"SLC7A9","cyan"
"SULT2A1","cyan"
"TM6SF2","cyan"
"TMPRSS15","cyan"
"TREH","cyan"
"TRIM36","cyan"
"TRIM40","cyan"
"TRPM6","cyan"
"TUBAL3","cyan"
"UGT2B17","cyan"
"UGT3A1","cyan"
"XPNPEP2","cyan"
"ZG16","cyan"
"A3GALT2","turquoise"
"AANAT","turquoise"
"AARD","turquoise"
"AATBC","turquoise"
"ABCA4","turquoise"
"ABCB7","turquoise"
"ABCB8","turquoise"
"ABCG4","turquoise"
"ABHD1","turquoise"
"ABHD16B","turquoise"
"ABHD8","turquoise"
"ABRAXAS2","turquoise"
"ACAD9","turquoise"
"ACCSL","turquoise"
"ACER1","turquoise"
"ACP4","turquoise"
"ACP7","turquoise"
"ACR","turquoise"
"ACRV1","turquoise"
"ACSBG1","turquoise"
"ACSM2A","turquoise"
"ACSM2B","turquoise"
"ACTA1","turquoise"
"ACTL10","turquoise"
"ACTL8","turquoise"
"ACTL9","turquoise"
"ACTN3","turquoise"
"ACTR8","turquoise"
"ACTRT2","turquoise"
"ADAD2","turquoise"
"ADAM11","turquoise"
"ADAM21","turquoise"
"ADAM6","turquoise"
"ADAMTS13","turquoise"
"ADAMTS7","turquoise"
"ADAMTSL5","turquoise"
"ADARB2","turquoise"
"ADAT3","turquoise"
"ADCK5","turquoise"
"ADCY8","turquoise"
"ADGRA1","turquoise"
"ADGRB1","turquoise"
"ADGRD2","turquoise"
"ADGRF3","turquoise"
"ADIG","turquoise"
"ADISSP","turquoise"
"ADORA2A-AS1","turquoise"
"ADPGK","turquoise"
"ADRA1D","turquoise"
"ADRA2B","turquoise"
"ADRA2C","turquoise"
"ADRB1","turquoise"
"AFG2A","turquoise"
"AGER","turquoise"
"AGK","turquoise"
"AGL","turquoise"
"AGO3","turquoise"
"AGO4","turquoise"
"AGXT","turquoise"
"AHSG","turquoise"
"AIFM3","turquoise"
"AIPL1","turquoise"
"AIRE","turquoise"
"AJM1","turquoise"
"AK2","turquoise"
"AKIP1","turquoise"
"AKT1S1","turquoise"
"AKTIP","turquoise"
"ALG11","turquoise"
"ALG13","turquoise"
"ALK","turquoise"
"ALKBH4","turquoise"
"ALOX12B","turquoise"
"ALOXE3","turquoise"
"ALPK1","turquoise"
"ALX3","turquoise"
"ALX4","turquoise"
"AMDHD2","turquoise"
"AMER2","turquoise"
"AMH","turquoise"
"AMIGO3","turquoise"
"AMN","turquoise"
"AMZ1","turquoise"
"ANAPC1","turquoise"
"ANAPC7","turquoise"
"ANGPTL6","turquoise"
"ANGPTL8","turquoise"
"ANKIB1","turquoise"
"ANKK1","turquoise"
"ANKLE1","turquoise"
"ANKMY2","turquoise"
"ANKRD11","turquoise"
"ANKRD17","turquoise"
"ANKRD2","turquoise"
"ANKRD24","turquoise"
"ANKRD33","turquoise"
"ANKRD33B","turquoise"
"ANKRD34A","turquoise"
"ANKRD42","turquoise"
"ANKRD53","turquoise"
"ANKRD60","turquoise"
"ANKRD9","turquoise"
"ANKS3","turquoise"
"ANO10","turquoise"
"ANO7","turquoise"
"ANP32AP1","turquoise"
"ANTKMT","turquoise"
"AOC2","turquoise"
"AP3B1","turquoise"
"APBA3","turquoise"
"APC","turquoise"
"APC2","turquoise"
"APCDD1L","turquoise"
"APH1A","turquoise"
"APOC4","turquoise"
"AQP2","turquoise"
"AQP6","turquoise"
"AQR","turquoise"
"ARAFP2","turquoise"
"ARC","turquoise"
"ARF4","turquoise"
"ARHGAP19","turquoise"
"ARHGAP27","turquoise"
"ARHGAP27P2","turquoise"
"ARHGAP33","turquoise"
"ARHGAP36","turquoise"
"ARHGAP39","turquoise"
