"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"ABCA1","green",0.779824897466235,1.58497181126035e-50,-0.344286484451549,4.12074461073836e-08,0.344286484451549,4.12074461073836e-08,TRUE,FALSE
"ABI2","green",0.752323804972852,3.27790940552627e-45,-0.371184349427626,2.74511277510721e-09,0.371184349427626,2.74511277510721e-09,TRUE,FALSE
"ACOT9","green",0.79594256592261,5.17285344552614e-54,-0.28597311102758,6.45296521524247e-06,0.28597311102758,6.45296521524247e-06,TRUE,FALSE
"ACTA2","green",0.880393425187529,2.14555729049637e-79,-0.462399930648103,3.59890671268258e-14,0.462399930648103,3.59890671268258e-14,TRUE,TRUE
"ACVR1","green",0.846621178897137,2.06538864848611e-67,-0.459637592554579,5.32769199905763e-14,0.459637592554579,5.32769199905763e-14,TRUE,TRUE
"ADAM10","green",0.77467000555216,1.79226784182216e-49,-0.529116752321589,8.66975060102522e-19,0.529116752321589,8.66975060102522e-19,TRUE,FALSE
"ADAM12","green",0.761019264743063,8.18027327868602e-47,-0.326099212059649,2.23857976894816e-07,0.326099212059649,2.23857976894816e-07,TRUE,FALSE
"ADAM28","green",0.636081347930676,9.90516453353238e-29,-0.474015614041939,6.64871019873397e-15,0.474015614041939,6.64871019873397e-15,TRUE,FALSE
"ADAM9","green",0.814518572005143,1.92471874139485e-58,-0.522116580502061,2.960306813801e-18,0.522116580502061,2.960306813801e-18,TRUE,TRUE
"ADAMTS12","green",0.871915994154814,4.51966110381251e-76,-0.552778200717852,1.09850642562752e-20,0.552778200717852,1.09850642562752e-20,TRUE,TRUE
"ADAMTS6","green",0.734142904097122,4.58234976221588e-42,-0.40810880967294,4.34357911868409e-11,0.40810880967294,4.34357911868409e-11,TRUE,FALSE
"AEBP1","green",0.845383696929064,4.98748022639155e-67,-0.508265301950376,3.09809112702808e-17,0.508265301950376,3.09809112702808e-17,TRUE,TRUE
"AFAP1","green",0.874998897338291,2.98232690006024e-77,-0.527856945502167,1.08367944798641e-18,0.527856945502167,1.08367944798641e-18,TRUE,TRUE
"AGPAT4","green",0.76416285929311,2.07183824706126e-47,-0.247796079817999,0.000101226111722036,0.247796079817999,0.000101226111722036,TRUE,FALSE
"ANKH","green",0.769113559886579,2.28023879349173e-48,-0.369326372466718,3.33710759031085e-09,0.369326372466718,3.33710759031085e-09,TRUE,FALSE
"ANKLE2","green",0.746068977461301,4.24574900627716e-44,-0.483056423685893,1.70747231997607e-15,0.483056423685893,1.70747231997607e-15,TRUE,FALSE
"ANKRD50","green",0.719979893503156,8.65888380155368e-40,-0.336074007776786,8.96891039529242e-08,0.336074007776786,8.96891039529242e-08,TRUE,FALSE
"ANOS1","green",0.816023439222993,8.01338753417854e-59,-0.52605394193959,1.48892775774917e-18,0.52605394193959,1.48892775774917e-18,TRUE,TRUE
"ANTXR1","green",0.930362584529108,3.95274383988187e-106,-0.575133150856549,1.27225596997997e-22,0.575133150856549,1.27225596997997e-22,TRUE,TRUE
"ANXA1","green",0.806901282752475,1.44147421071909e-56,-0.386724020978782,5.10356844713037e-10,0.386724020978782,5.10356844713037e-10,TRUE,TRUE
"ANXA2","green",0.807519554692921,1.02281485147765e-56,-0.579012017350564,5.6674106797611e-23,0.579012017350564,5.6674106797611e-23,TRUE,TRUE
"ANXA2P2","green",0.813781430683591,2.9479030911354e-58,-0.591835500550663,3.61782536872471e-24,0.591835500550663,3.61782536872471e-24,TRUE,TRUE
"ANXA5","green",0.790653960397556,7.78857783035893e-53,-0.325627842518148,2.33558669968547e-07,0.325627842518148,2.33558669968547e-07,TRUE,FALSE
"AP2B1","green",0.782044544527958,5.46551480151374e-51,-0.517130048358375,6.97934605369973e-18,0.517130048358375,6.97934605369973e-18,TRUE,FALSE
"AP2M1","green",0.774380123644778,2.05025656886115e-49,-0.407422282461346,4.71408733477929e-11,0.407422282461346,4.71408733477929e-11,TRUE,FALSE
"AP3M2","green",0.791700005418921,4.58383341307122e-53,-0.427818153446397,3.81994149081116e-12,0.427818153446397,3.81994149081116e-12,TRUE,FALSE
"APBB2","green",0.720896436274725,6.22899483550264e-40,-0.37838978082034,1.27214220556699e-09,0.37838978082034,1.27214220556699e-09,TRUE,FALSE
"APLP2","green",0.758434644496204,2.49042317766041e-46,-0.504719224128232,5.55640937331812e-17,0.504719224128232,5.55640937331812e-17,TRUE,FALSE
"APOL1","green",0.841379880328173,8.2035816140687e-66,-0.598158570861318,8.9003202298666e-25,0.598158570861318,8.9003202298666e-25,TRUE,TRUE
"APOL2","green",0.636454086114871,9.00018538317635e-29,-0.464235045710083,2.76781870537203e-14,0.464235045710083,2.76781870537203e-14,TRUE,FALSE
"ARHGAP21","green",0.662089592207673,8.89370445419846e-32,-0.409578870663335,3.64293856837654e-11,0.409578870663335,3.64293856837654e-11,TRUE,FALSE
"ARL4C","green",0.833143456118938,2.05480332594699e-63,-0.463658260729286,3.00643807788017e-14,0.463658260729286,3.00643807788017e-14,TRUE,TRUE
"ARMC9","green",0.740736575622485,3.5549450260172e-43,-0.456190815249514,8.64926858378578e-14,0.456190815249514,8.64926858378578e-14,TRUE,FALSE
"ARRDC3","green",0.726304343638266,8.68177049004998e-41,-0.33071663350737,1.47179084609151e-07,0.33071663350737,1.47179084609151e-07,TRUE,FALSE
"ASAP1","green",0.79871181631727,1.21080493840304e-54,-0.362289322730179,6.91419960715102e-09,0.362289322730179,6.91419960715102e-09,TRUE,FALSE
"ASPN","green",0.776576788590882,7.36276532014191e-50,-0.355328094640181,1.39720484589466e-08,0.355328094640181,1.39720484589466e-08,TRUE,FALSE
"ATL3","green",0.660777158655799,1.28858343053008e-31,-0.264913979675356,3.10181746304558e-05,0.264913979675356,3.10181746304558e-05,TRUE,FALSE
"ATP10A","green",0.719059903966722,1.20356762269878e-39,-0.406569964081477,5.21698937539448e-11,0.406569964081477,5.21698937539448e-11,TRUE,FALSE
"ATP2A2","green",0.819032348092437,1.35628207366477e-59,-0.343078826530213,4.62656930437048e-08,0.343078826530213,4.62656930437048e-08,TRUE,TRUE
"ATP2B4","green",0.794027905064534,1.39345198933618e-53,-0.426225934730059,4.67648490629099e-12,0.426225934730059,4.67648490629099e-12,TRUE,FALSE
"ATP6AP2","green",0.820947579832463,4.30310358763931e-60,-0.310456434959688,8.8084157356524e-07,0.310456434959688,8.8084157356524e-07,TRUE,TRUE
"ATXN1","green",0.702223068088852,3.98499238139003e-37,-0.367352515607704,4.10092583426066e-09,0.367352515607704,4.10092583426066e-09,TRUE,FALSE
"AXL","green",0.76875116308374,2.68500370757475e-48,-0.44899711996686,2.33685762515266e-13,0.44899711996686,2.33685762515266e-13,TRUE,FALSE
"B3GNT5","green",0.671119193652403,6.58880818243627e-33,-0.407118608832786,4.88761159206289e-11,0.407118608832786,4.88761159206289e-11,TRUE,FALSE
"B4GALT1","green",0.778032671248503,3.71075737029099e-50,-0.397978293321219,1.42652402023395e-10,0.397978293321219,1.42652402023395e-10,TRUE,FALSE
"BICD1","green",0.826555358649913,1.37731549102246e-61,-0.470684034740704,1.08629190345438e-14,0.470684034740704,1.08629190345438e-14,TRUE,TRUE
"BLID","green",0.612898894066215,2.9924251171988e-26,-0.204471384937971,0.00141520258076932,0.204471384937971,0.00141520258076932,TRUE,FALSE
"BMPR2","green",0.789174792477207,1.63975183062456e-52,-0.445013880774803,4.0115928219913e-13,0.445013880774803,4.0115928219913e-13,TRUE,FALSE
"BNC2","green",0.83219016980102,3.81880472967952e-63,-0.34802952578738,2.86924382193524e-08,0.34802952578738,2.86924382193524e-08,TRUE,TRUE
"BST2","green",0.780881177918541,9.56432324006605e-51,-0.429906937485046,2.92477549097044e-12,0.429906937485046,2.92477549097044e-12,TRUE,FALSE
"C1R","green",0.773717188274988,2.78643911328045e-49,-0.275086293013221,1.47656089936656e-05,0.275086293013221,1.47656089936656e-05,TRUE,FALSE
"CACNB3","green",0.7108291286931,2.16239769302118e-38,-0.576138953091961,1.03265891473933e-22,0.576138953091961,1.03265891473933e-22,TRUE,FALSE
"CALD1","green",0.919507828674965,6.71667937525348e-99,-0.430021467081205,2.88211355484902e-12,0.430021467081205,2.88211355484902e-12,TRUE,TRUE
"CALHM5","green",0.804151954470809,6.53064298476016e-56,-0.377957172892524,1.33297403716305e-09,0.377957172892524,1.33297403716305e-09,TRUE,TRUE
"CALU","green",0.845341229397093,5.13997517169854e-67,-0.449026155190177,2.3276105441069e-13,0.449026155190177,2.3276105441069e-13,TRUE,TRUE
"CAMSAP2","green",0.828610944729527,3.78088251195047e-62,-0.353780166588438,1.63005654521166e-08,0.353780166588438,1.63005654521166e-08,TRUE,TRUE
"CAP1","green",0.874478807842256,4.74129365940252e-77,-0.549443835422063,2.07635467434536e-20,0.549443835422063,2.07635467434536e-20,TRUE,TRUE
"CAPG","green",0.738434936895571,8.75380039253577e-43,-0.559771412398501,2.82323125419454e-21,0.559771412398501,2.82323125419454e-21,TRUE,FALSE
"CAPN2","green",0.788115019184071,2.78504318121856e-52,-0.555899051379925,6.01440412965296e-21,0.555899051379925,6.01440412965296e-21,TRUE,FALSE
"CAPZB","green",0.890337615016287,1.24626717623843e-83,-0.46785180133554,1.64205402941896e-14,0.46785180133554,1.64205402941896e-14,TRUE,TRUE
"CAST","green",0.787315140066198,4.14568505233363e-52,-0.512237165673217,1.59737816606067e-17,0.512237165673217,1.59737816606067e-17,TRUE,FALSE
"CBFB","green",0.827818043377992,6.23791967605306e-62,-0.449060837764139,2.31661171043932e-13,0.449060837764139,2.31661171043932e-13,TRUE,TRUE
"CCN4","green",0.740175526317374,4.43214819496377e-43,-0.477823419814422,3.76876549207777e-15,0.477823419814422,3.76876549207777e-15,TRUE,FALSE
"CD109","green",0.828852681705921,3.24396745548088e-62,-0.486914258245146,9.44240330940894e-16,0.486914258245146,9.44240330940894e-16,TRUE,TRUE
"CDH11","green",0.932706320595725,7.62113837602853e-108,-0.543265876482357,6.63017471444851e-20,0.543265876482357,6.63017471444851e-20,TRUE,TRUE
