"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"ACTA2","green",0.880393425187529,2.14555729049637e-79,-0.462399930648103,3.59890671268258e-14,0.462399930648103,3.59890671268258e-14,TRUE,TRUE
"ADAM9","green",0.814518572005143,1.92471874139485e-58,-0.522116580502061,2.960306813801e-18,0.522116580502061,2.960306813801e-18,TRUE,TRUE
"ADAMTS12","green",0.871915994154814,4.51966110381251e-76,-0.552778200717852,1.09850642562752e-20,0.552778200717852,1.09850642562752e-20,TRUE,TRUE
"AEBP1","green",0.845383696929064,4.98748022639155e-67,-0.508265301950376,3.09809112702808e-17,0.508265301950376,3.09809112702808e-17,TRUE,TRUE
"ANTXR1","green",0.930362584529108,3.95274383988187e-106,-0.575133150856549,1.27225596997997e-22,0.575133150856549,1.27225596997997e-22,TRUE,TRUE
"APOL1","green",0.841379880328173,8.2035816140687e-66,-0.598158570861318,8.9003202298666e-25,0.598158570861318,8.9003202298666e-25,TRUE,TRUE
"CD109","green",0.828852681705921,3.24396745548088e-62,-0.486914258245146,9.44240330940894e-16,0.486914258245146,9.44240330940894e-16,TRUE,TRUE
"CDH11","green",0.932706320595725,7.62113837602853e-108,-0.543265876482357,6.63017471444851e-20,0.543265876482357,6.63017471444851e-20,TRUE,TRUE
"COL12A1","green",0.930220879033764,4.99637274567908e-106,-0.493211130929102,3.5329463120025e-16,0.493211130929102,3.5329463120025e-16,TRUE,TRUE
"COL1A1","green",0.869812593349397,2.77425558934457e-75,-0.477007842115588,4.25855176605788e-15,0.477007842115588,4.25855176605788e-15,TRUE,TRUE
"COL1A2","green",0.876657793796745,6.70321482651032e-78,-0.446925070488483,3.09809383092728e-13,0.446925070488483,3.09809383092728e-13,TRUE,TRUE
"COL3A1","green",0.858890649251662,2.11573887531286e-71,-0.425716742079511,4.98793938024412e-12,0.425716742079511,4.98793938024412e-12,TRUE,TRUE
"COL5A2","green",0.89828872576829,2.53127128466816e-87,-0.43514715393761,1.48471736548922e-12,0.43514715393761,1.48471736548922e-12,TRUE,TRUE
"COL6A3","green",0.908706824765169,1.18631348274104e-92,-0.435467844185269,1.42383362980869e-12,0.435467844185269,1.42383362980869e-12,TRUE,TRUE
"CTSK","green",0.892787230643893,9.75448829610084e-85,-0.417990816773813,1.30940908827907e-11,0.417990816773813,1.30940908827907e-11,TRUE,TRUE
"EDIL3","green",0.859203038018245,1.6557959506451e-71,-0.546336698716873,3.7341814958286e-20,0.546336698716873,3.7341814958286e-20,TRUE,TRUE
"EDNRA","green",0.875876714416335,1.35730197102221e-77,-0.536676825481706,2.2283415913827e-19,0.536676825481706,2.2283415913827e-19,TRUE,TRUE
"FAP","green",0.862908085685133,8.63966631144042e-73,-0.421951859870348,8.00774776950256e-12,0.421951859870348,8.00774776950256e-12,TRUE,TRUE
"FBXO32","green",0.80672421057096,1.58995139317914e-56,-0.571224551538031,2.84302707804985e-22,0.571224551538031,2.84302707804985e-22,TRUE,TRUE
"FN1","green",0.936046099930437,2.1294690254989e-110,-0.587594719980105,9.10935144501649e-24,0.587594719980105,9.10935144501649e-24,TRUE,TRUE
"IGFBP5","green",0.807641999771071,9.55481766744937e-57,-0.512299537249883,1.5807388782578e-17,0.512299537249883,1.5807388782578e-17,TRUE,TRUE
"INHBA","green",0.864322943798951,2.7339825165687e-73,-0.546155830110857,3.8632394020494e-20,0.546155830110857,3.8632394020494e-20,TRUE,TRUE
"MMP14","green",0.846557763033654,2.1612499225604e-67,-0.61745676731967,1.01072005201539e-26,0.61745676731967,1.01072005201539e-26,TRUE,TRUE
"MYOF","green",0.934434186273727,3.78120946559693e-109,-0.601957916480881,3.77507998079484e-25,0.601957916480881,3.77507998079484e-25,TRUE,TRUE
"NOX4","green",0.861346274326591,3.03145566378812e-72,-0.540812515963929,1.04446777913067e-19,0.540812515963929,1.04446777913067e-19,TRUE,TRUE
"NRP2","green",0.894926558957391,1.00172949407087e-85,-0.512226521408923,1.60023491114437e-17,0.512226521408923,1.60023491114437e-17,TRUE,TRUE
"OLFML2B","green",0.847675782587152,9.68329873990025e-68,-0.433470451357998,1.84675556390681e-12,0.433470451357998,1.84675556390681e-12,TRUE,TRUE
"OSBPL3","green",0.829009698772028,2.93640213947764e-62,-0.559189342745847,3.16512173149599e-21,0.559189342745847,3.16512173149599e-21,TRUE,TRUE
"PKM","green",0.835241821178367,5.17917345236637e-64,-0.606303126206928,1.39569860907465e-25,0.606303126206928,1.39569860907465e-25,TRUE,TRUE
"PLAU","green",0.875944470208899,1.2769682326245e-77,-0.584487161142422,1.77684377116544e-23,0.584487161142422,1.77684377116544e-23,TRUE,TRUE
"POSTN","green",0.892395536060627,1.47201808820207e-84,-0.57859962263867,6.17937485717704e-23,0.57859962263867,6.17937485717704e-23,TRUE,TRUE
"RAB31","green",0.88144488328401,7.97602023382527e-80,-0.507956954333122,3.26040672895293e-17,0.507956954333122,3.26040672895293e-17,TRUE,TRUE
"SEMA3C","green",0.893200475147433,6.30827240830734e-85,-0.451367510956885,1.6885618848898e-13,0.451367510956885,1.6885618848898e-13,TRUE,TRUE
"SLC6A6","green",0.850743636310921,1.0343274203867e-68,-0.552747402827373,1.10502130137457e-20,0.552747402827373,1.10502130137457e-20,TRUE,TRUE
"SRPX2","green",0.892981746002198,7.94694037348104e-85,-0.481588184466633,2.13511001330699e-15,0.481588184466633,2.13511001330699e-15,TRUE,TRUE
