"","adjacent_non_tumor","Tumor"
"MEcyan",0.106535372744474,-0.106535372744474
"MEturquoise",0.201743367528166,-0.201743367528166
"MElightcyan",0.0523672002887629,-0.0523672002887629
"MEyellow",0.481410568352881,-0.481410568352881
"MEgreenyellow",0.275813249389473,-0.275813249389473
"MEred",-0.0623437909134195,0.0623437909134195
"MEgrey60",0.264200722092533,-0.264200722092533
"MEsalmon",-0.128186668995827,0.128186668995827
"MEtan",0.233346678131568,-0.233346678131568
"MEblue",0.00959801438590433,-0.00959801438590433
"MElightgreen",-0.41420987828364,0.41420987828364
"MEpink",-0.15299199155954,0.15299199155954
"MEgreen",-0.534998860277274,0.534998860277274
"MEmidnightblue",-0.167557331571897,0.167557331571897
"MEbrown",-0.161590903712367,0.161590903712367
"MEmagenta",-0.467283533031114,0.467283533031114
"MEblack",-0.642041766559809,0.642041766559809
"MEpurple",-0.421339046301601,0.421339046301601
"MEgrey",0.321585274486826,-0.321585274486826
