"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031589","GO:0031589","cell-substrate adhesion","18/77","369/18860",0.0487804878048781,11.9480519480519,13.5985326024393,6.67705556539797e-15,1.18317424618852e-11,8.95428293717581e-12,"ADAMTS12/ANTXR1/CDH11/COL1A1/EDIL3/FN1/GREM1/LEF1/MMP14/PLAU/POSTN/CEACAM6/EFNA5/FERMT1/ITGA2/ITGA3/ITGB4/ITGB6",18
"GO:0007160","GO:0007160","cell-matrix adhesion","15/77","246/18860",0.0609756097560976,14.9350649350649,14.0857153955757,6.03206394861568e-14,5.3444086584735e-11,4.04465761607178e-11,"ADAMTS12/CDH11/FN1/GREM1/LEF1/MMP14/PLAU/POSTN/CEACAM6/EFNA5/FERMT1/ITGA2/ITGA3/ITGB4/ITGB6",15
"GO:0030198","GO:0030198","extracellular matrix organization","15/77","331/18860",0.0453172205438066,11.0997763565739,11.8692144586002,4.44585477588946e-12,1.71723585217679e-09,1.29960703081456e-09,"ADAMTS12/AEBP1/ANTXR1/COL12A1/COL1A1/CTSK/GREM1/MMP14/OLFML2B/POSTN/SULF1/SULF2/FERMT1/ITGA2/SERPINB5",15
"GO:0043062","GO:0043062","extracellular structure organization","15/77","332/18860",0.0451807228915663,11.066343295259,11.8481002877249,4.64169533894589e-12,1.71723585217679e-09,1.29960703081456e-09,"ADAMTS12/AEBP1/ANTXR1/COL12A1/COL1A1/CTSK/GREM1/MMP14/OLFML2B/POSTN/SULF1/SULF2/FERMT1/ITGA2/SERPINB5",15
"GO:0045229","GO:0045229","external encapsulating structure organization","15/77","333/18860",0.045045045045045,11.033111033111,11.8270762855253,4.84547362352367e-12,1.71723585217679e-09,1.29960703081456e-09,"ADAMTS12/AEBP1/ANTXR1/COL12A1/COL1A1/CTSK/GREM1/MMP14/OLFML2B/POSTN/SULF1/SULF2/FERMT1/ITGA2/SERPINB5",15
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","12/77","230/18860",0.0521739130434783,12.7792207792208,11.5079049467551,1.48390640368713e-10,4.38247024555599e-08,3.31666097946913e-08,"COL1A1/EDIL3/FN1/GREM1/LEF1/MMP14/PLAU/POSTN/CEACAM6/EFNA5/FERMT1/ITGA3",12
"GO:0001704","GO:0001704","formation of primary germ layer","9/77","135/18860",0.0666666666666667,16.3290043290043,11.4443763582081,4.0292884770144e-09,1.01998559732422e-06,7.71926845070126e-07,"COL12A1/FN1/INHBA/LEF1/MMP14/ITGA2/ITGA3/ITGB4/LAMB3",9
"GO:0043588","GO:0043588","skin development","12/77","329/18860",0.0364741641337386,8.93380176054948,9.2950574685341,8.65899072011334e-09,1.91796644450511e-06,1.45152028650321e-06,"COL1A1/IGFBP5/INHBA/CDH3/FERMT1/ITGA2/ITGA3/ITGB4/ITGB6/KRT7/MET/SFN",12
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","8/77","117/18860",0.0683760683760684,16.7476967476968,10.9398819311048,2.5371587036025e-08,4.9953835808707e-06,3.78051484022174e-06,"FN1/PLAU/CEACAM1/FERMT1/ITGA2/ITGA3/ITGB4/ITGB6",8
"GO:0001952","GO:0001952","regulation of cell-matrix adhesion","8/77","131/18860",0.0610687022900763,14.95786656092,10.2640700818552,6.14870547310752e-08,1.08955060983465e-05,8.24573765551471e-06,"GREM1/LEF1/MMP14/PLAU/POSTN/CEACAM6/EFNA5/FERMT1",8
"GO:0007369","GO:0007369","gastrulation","9/77","203/18860",0.0443349753694581,10.8591900710127,9.04254265455337,1.39204647170141e-07,2.24246031623173e-05,1.69709780377761e-05,"COL12A1/FN1/INHBA/LEF1/MMP14/ITGA2/ITGA3/ITGB4/LAMB3",9
"GO:0007044","GO:0007044","cell-substrate junction assembly","7/77","99/18860",0.0707070707070707,17.3186409550046,10.4230736441454,1.57770873181064e-07,2.32974989397371e-05,1.76315870554979e-05,"CDH11/FN1/GREM1/MMP14/EFNA5/ITGA2/ITGB4",7
"GO:0150115","GO:0150115","cell-substrate junction organization","7/77","109/18860",0.0642201834862385,15.7297748123436,9.87459638063603,3.05678115230855e-07,4.16662784760827e-05,3.15331108343408e-05,"CDH11/FN1/GREM1/MMP14/EFNA5/ITGA2/ITGB4",7
"GO:0035987","GO:0035987","endodermal cell differentiation","5/77","53/18860",0.0943396226415094,23.1070815976476,10.3188619030479,2.4485430175495e-06,0.000309915587649836,0.000234544646944215,"COL12A1/FN1/INHBA/MMP14/LAMB3",5
"GO:0034698","GO:0034698","response to gonadotropin","4/77","28/18860",0.142857142857143,34.9907235621521,11.5242697693246,4.88081919699261e-06,0.00057658744113806,0.000436362361892532,"EDNRA/INHBA/EFNA5/ITGA3",4
"GO:0001706","GO:0001706","endoderm formation","5/77","62/18860",0.0806451612903226,19.7528278173439,9.46954259281576,5.36559835219379e-06,0.000594240017505462,0.000449721861887822,"COL12A1/FN1/INHBA/MMP14/LAMB3",5
"GO:0030199","GO:0030199","collagen fibril organization","5/77","71/18860",0.0704225352112676,17.2489482348637,8.78263450866259,1.04913969121737e-05,0.00106828940296624,0.000808483247819291,"ADAMTS12/AEBP1/COL12A1/COL1A1/GREM1",5
