"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","GO:0031012","extracellular matrix","22/78","496/19944",0.0443548387096774,11.3411910669975,14.6137360210431,1.24726627261206e-17,1.14527878596044e-15,8.01421160032123e-16,"ACTA2/ADAMTS12/AEBP1/COL12A1/COL1A1/COL6A3/EDIL3/FN1/GREM1/MMP14/MXRA5/OLFML2B/POSTN/SRPX2/SULF1/THBS2/VCAN/EFNA5/ITGB4/LAMB3/LAMC2/SLPI",22
"GO:0030312","GO:0030312","external encapsulating structure","22/78","497/19944",0.0442655935613682,11.318371769076,14.596555705795,1.30145316586413e-17,1.14527878596044e-15,8.01421160032123e-16,"ACTA2/ADAMTS12/AEBP1/COL12A1/COL1A1/COL6A3/EDIL3/FN1/GREM1/MMP14/MXRA5/OLFML2B/POSTN/SRPX2/SULF1/THBS2/VCAN/EFNA5/ITGB4/LAMB3/LAMC2/SLPI",22
"GO:0005604","GO:0005604","basement membrane","7/78","100/19944",0.07,17.8984615384615,10.6149973188662,1.2718237868186e-07,7.46136621600246e-06,5.22117133536057e-06,"ACTA2/FN1/THBS2/EFNA5/ITGB4/LAMB3/LAMC2",7
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","5/78","57/19944",0.087719298245614,22.4291497975709,10.1518469598977,2.86969909736201e-06,0.000126266760283928,8.83565248398302e-05,"PLAU/ITGA2/ITGA3/ITGB4/ITGB6",5
"GO:0008305","GO:0008305","integrin complex","4/78","30/19944",0.133333333333333,34.0923076923077,11.3656887871317,5.49076416716295e-06,0.000193274898684136,0.000135246191064856,"ITGA2/ITGA3/ITGB4/ITGB6",4
"GO:0005912","GO:0005912","adherens junction","6/78","198/19944",0.0303030303030303,7.74825174825175,5.97959314129021,0.000125895095017197,0.00369292278717111,0.00258416247666878,"CDH11/CDH3/CEACAM1/EFNA5/S100A11/TRIM29",6
"GO:0005925","GO:0005925","focal adhesion","8/78","423/19944",0.0189125295508274,4.83578832515003,4.99644505986279,0.000245662352796404,0.00425221784206442,0.00297553521244938,"MMP14/PLAU/FERMT1/ITGA2/ITGA3/ITGB4/ITGB6/LMO7",8
"GO:0045178","GO:0045178","basal part of cell","7/78","319/19944",0.0219435736677116,5.61080299011333,5.20180904339613,0.000250688546436122,0.00425221784206442,0.00297553521244938,"SLC6A6/CEACAM1/ITGA2/ITGA3/ITGB4/MET/SLC2A1",7
"GO:0016324","GO:0016324","apical plasma membrane","8/78","425/19944",0.0188235294117647,4.81303167420814,4.97878561735539,0.000253599651288186,0.00425221784206442,0.00297553521244938,"CTSK/FN1/SLC6A6/CEACAM1/CEACAM6/LMO7/SLC2A1/SLC6A14",8
"GO:0030055","GO:0030055","cell-substrate junction","8/78","433/19944",0.0184757505773672,4.72410730147451,4.90923362056853,0.000287484339614879,0.00425221784206442,0.00297553521244938,"MMP14/PLAU/FERMT1/ITGA2/ITGA3/ITGB4/ITGB6/LMO7",8
"GO:0031528","GO:0031528","microvillus membrane","3/78","33/19944",0.0909090909090909,23.2447552447552,8.01355820705175,0.000288521374860232,0.00425221784206442,0.00297553521244938,"SLC6A6/CEACAM1/S100P",3
"GO:0098858","GO:0098858","actin-based cell projection","6/78","231/19944",0.025974025974026,6.64135864135864,5.40381745310634,0.000289923943777119,0.00425221784206442,0.00297553521244938,"ACTA2/ANTXR1/SLC6A6/CEACAM1/ITGA3/S100P",6
"GO:0031253","GO:0031253","cell projection membrane","7/78","361/19944",0.0193905817174515,4.95802258683145,4.75531825203435,0.000526996326405653,0.00713471949595346,0.00499259677647461,"ANTXR1/SLC6A6/CEACAM1/FERMT1/ITGA3/PLEK2/S100P",7
"GO:0043256","GO:0043256","laminin complex","2/78","10/19944",0.2,51.1384615384615,9.9371331085942,0.000665832922654303,0.0083704710276541,0.00585732721432733,"LAMB3/LAMC2",2
"GO:0009897","GO:0009897","external side of plasma membrane","7/78","393/19944",0.0178117048346056,4.55431591309454,4.45918143929461,0.000868775538124156,0.0101936329806568,0.00713310441828255,"ANTXR1/CTSK/PLAU/EFNA5/ITGA2/ITGA3/ITGB6",7
"GO:0009925","GO:0009925","basal plasma membrane","6/78","300/19944",0.02,5.11384615384615,4.49863793682872,0.00114204662135685,0.0125625128349253,0.00879075359860203,"SLC6A6/CEACAM1/ITGA3/ITGB4/MET/SLC2A1",6
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","6/78","319/19944",0.0188087774294671,4.80925970581143,4.29752510112069,0.00156189441397202,0.0161702009917103,0.0113152722250604,"COL12A1/COL1A1/COL6A3/FN1/IGFBP5/VCAN",6
"GO:0042383","GO:0042383","sarcolemma","4/78","139/19944",0.0287769784172662,7.35805201992252,4.71336838054672,0.00216259704541716,0.020549128937728,0.0143794741968551,"COL6A3/AHNAK2/KRT19/SLC2A1",4
