"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","12/42","154/9562",0.0779220779220779,17.7402597402597,13.9101472809651,1.44313431829302e-12,1.54415372057353e-10,1.29122544268323e-10,"1277/1293/2335/7058/55612/3673/3675/3691/3694/3914/3918/4233",12
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","10/42","89/9562",0.112359550561798,25.5805243445693,15.4739150273343,3.35288970099409e-12,1.79379599003184e-10,1.49997697149735e-10,"1277/1293/2335/7058/3673/3675/3691/3694/3914/3918",10
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","11/42","203/9562",0.0541871921182266,12.3366174055829,10.8436281292989,7.25124318722706e-10,2.58627673677765e-08,2.16265147689228e-08,"1277/1293/2335/7058/3673/3675/3691/3694/3914/3918/4233",11
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","12/42","362/9562",0.0331491712707182,7.54696132596685,8.43447348257421,2.8639911337292e-08,7.66117628272562e-07,6.40629595702585e-07,"1277/1293/2335/7058/1946/3673/3675/3691/3694/3914/3918/4233",12
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","11/42","333/9562",0.033033033033033,7.52052052052052,8.04423760256667,1.26067356512273e-07,2.69784142936265e-06,2.255942169167e-06,"1277/1293/2335/7058/3673/3675/3691/3694/3914/3918/5315",11
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","9/42","233/9562",0.0386266094420601,8.79399141630901,7.999782275041,5.74331094963727e-07,1.02422378601865e-05,8.56458650384506e-06,"1277/1293/2335/7058/1462/3673/3675/3691/3694",9
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","5/42","86/9562",0.0581395348837209,13.2364341085271,7.57093304838585,3.42694089244927e-05,0.000523832393560102,0.000438030038884493,"51176/3673/3675/3691/3694",5
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","5/42","93/9562",0.0537634408602151,12.2401433691756,7.23467617546294,4.99970342655403e-05,0.000668710333301602,0.000559177356917227,"2335/3673/3675/3914/3918",5
"hsa04382","Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","6/42","217/9562",0.0276497695852535,6.29493087557604,5.24032640763021,0.000337817938653367,0.00401627993732336,0.0033584239515247,"3691/3880/3855/3914/3918/6282",6
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","4/42","99/9562",0.0404040404040404,9.1986531986532,5.44632462431723,0.000894962394107125,0.00957609761694624,0.00800755826306375,"3673/3675/3691/3694",4
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","4/42","103/9562",0.0388349514563107,8.84142394822006,5.31433300364059,0.00103789480208973,0.009942706900401,0.00831411791966636,"1277/2335/3914/3918",4
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","4/42","105/9562",0.0380952380952381,8.67301587301587,5.25099834900623,0.00111506993275525,0.009942706900401,0.00831411791966636,"3673/3675/3691/3694",4
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","5/42","204/9562",0.0245098039215686,5.58006535947712,4.39190633038154,0.00188426264562205,0.0155089310062738,0.0129686093018521,"1277/2335/5328/3673/4233",5
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","5/42","232/9562",0.021551724137931,4.9066091954023,4.00093014365843,0.00329494063057715,0.0244781165460653,0.0204686660739356,"2335/3673/3675/3691/3694",5
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","3/42","70/9562",0.0428571428571429,9.75714285714286,4.88416604259265,0.00351628675750658,0.0244781165460653,0.0204686660739356,"112399/4233/6513",3
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","3/42","71/9562",0.0422535211267606,9.61971830985915,4.84199226346951,0.00366027910969201,0.0244781165460653,0.0204686660739356,"4233/5315/6513",3
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","3/42","93/9562",0.032258064516129,7.34408602150538,4.08334720362545,0.00777387724466186,0.0489296979516952,0.0409151433929571,"51176/4008/4233",3
