"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","33/299","339/18805",0.0973451327433628,6.12232515464528,12.0972042431238,7.40293484533802e-17,1.00472379925774e-13,8.37102081958441e-14,"MMP14/ITGA2/COL10A1/MMP11/SULF1/POSTN/ANTXR1/COL17A1/SERPINB5/FERMT1/ADAMTS12/LOXL2/AEBP1/COL12A1/COL11A1/SULF2/GREM1/COL1A1/COMP/FLRT2/COL1A2/COL5A2/PPARG/OLFML2B/COL3A1/FAP/DPT/MMP1/CTSK/MMP12/MMP7/PRSS1/PRSS2",33
"GO:0043062","GO:0043062","extracellular structure organization","33/299","340/18805",0.0970588235294118,6.10431831595514,12.0727717289028,8.08461107016498e-17,1.00472379925774e-13,8.37102081958441e-14,"MMP14/ITGA2/COL10A1/MMP11/SULF1/POSTN/ANTXR1/COL17A1/SERPINB5/FERMT1/ADAMTS12/LOXL2/AEBP1/COL12A1/COL11A1/SULF2/GREM1/COL1A1/COMP/FLRT2/COL1A2/COL5A2/PPARG/OLFML2B/COL3A1/FAP/DPT/MMP1/CTSK/MMP12/MMP7/PRSS1/PRSS2",33
"GO:0045229","GO:0045229","external encapsulating structure organization","33/299","341/18805",0.0967741935483871,6.08641708922214,12.0484366906767,8.82627056448966e-17,1.00472379925774e-13,8.37102081958441e-14,"MMP14/ITGA2/COL10A1/MMP11/SULF1/POSTN/ANTXR1/COL17A1/SERPINB5/FERMT1/ADAMTS12/LOXL2/AEBP1/COL12A1/COL11A1/SULF2/GREM1/COL1A1/COMP/FLRT2/COL1A2/COL5A2/PPARG/OLFML2B/COL3A1/FAP/DPT/MMP1/CTSK/MMP12/MMP7/PRSS1/PRSS2",33
"GO:0007160","GO:0007160","cell-matrix adhesion","24/299","240/18805",0.1,6.28929765886288,10.4823966327921,8.16772657046144e-13,6.97319655953145e-10,5.80983287367296e-10,"MMP14/ITGA2/ITGB4/ITGA3/CEACAM6/EFNA5/FN1/PLAU/POSTN/COL17A1/ITGA11/FERMT1/ADAMTS12/ITGB6/CDH11/ADAM9/MSLN/GREM1/MUC4/COL3A1/CD36/MMP12/LYVE1/PKHD1",24
"GO:0031589","GO:0031589","cell-substrate adhesion","28/299","361/18805",0.0775623268698061,4.87812560798229,9.45697741685926,5.0112072000507e-12,3.42265451763463e-09,2.85164064457622e-09,"MMP14/ITGA2/ITGB4/ITGA3/CEACAM6/EFNA5/FN1/PLAU/POSTN/ANTXR1/COL17A1/ITGA11/FERMT1/ADAMTS12/ITGB6/EDIL3/CDH11/AGR2/ADAM9/MSLN/GREM1/COL1A1/MUC4/COL3A1/CD36/MMP12/LYVE1/PKHD1",28
"GO:0007586","GO:0007586","digestion","18/299","144/18805",0.125,7.8616220735786,10.5061844293405,1.5257760804831e-11,8.68420885808299e-09,7.23539078165934e-09,"GCNT3/VSIG1/TFF1/MUC4/MUC13/AMY2A/PNLIPRP2/CD36/CLPS/PNLIP/TFF2/CEL/PRSS3/CTRB1/CTRB2/PRSS1/PRSS2/SPINK1",18
"GO:0030199","GO:0030199","collagen fibril organization","13/299","69/18805",0.188405797101449,11.8494013862634,11.4761527387167,5.57603984046618e-11,2.72031086502743e-08,2.26647153214738e-08,"MMP11/ADAMTS12/LOXL2/AEBP1/COL12A1/COL11A1/GREM1/COL1A1/COMP/COL1A2/COL5A2/COL3A1/DPT",13
"GO:0043588","GO:0043588","skin development","25/299","324/18805",0.0771604938271605,4.85285313183864,8.89194284293746,8.16223515904809e-11,3.48425413351865e-08,2.90296337301408e-08,"CDH3/ITGA2/ITGB4/ITGA3/SFN/FERMT1/ITGB6/INHBA/MET/SCEL/KRT17/ADAM9/KRT7/IGFBP5/DKK1/CD109/COL1A1/COMP/KRT6C/COL1A2/COL5A2/COL3A1/KRT6A/REG3G/REG3A",25
"GO:0050673","GO:0050673","epithelial cell proliferation","29/299","488/18805",0.0594262295081967,3.7374924612095,7.78825399685033,1.19585165555939e-09,4.53759267081702e-07,3.78056961985618e-07,"CDH3/MMP14/IGFBP3/SFN/SULF1/SERPINB5/RUNX2/FERMT1/MIR492/CEACAM1/LOXL2/EFNB2/IGFBP5/NRP2/PROX1/SULF2/CD109/CLDN18/RGN/EGF/FGL1/CXCL12/PPARG/FAP/MMP12/REG3G/PKHD1/REG3A/SPINK1",29
"GO:0032963","GO:0032963","collagen metabolic process","13/299","112/18805",0.116071428571429,7.30007763975155,8.50001802001582,2.66168658244315e-08,9.08965967904335e-06,7.57319877088824e-06,"MMP14/ITGA2/MMP11/INHBA/COL1A1/KLK6/COL1A2/FAP/MMP1/CTSK/MMP12/MMP7/PRSS2",13
"GO:0030574","GO:0030574","collagen catabolic process","9/299","45/18805",0.2,12.5785953177258,9.8843963483111,3.08949706435117e-08,9.59148406796294e-06,7.99130197602029e-06,"MMP14/MMP11/KLK6/FAP/MMP1/CTSK/MMP12/MMP7/PRSS2",9
