"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04972","hsa04972","Pancreatic secretion",97,-0.727904211267528,-2.84182344679164,1e-10,5.85e-09,3.33333333333333e-09,615,"tags=34%, list=3%, signal=33%","5320/482/3784/111/489/107/81579/23236/9545/6344/6262/1131/5645/5646/1080/8671/5644/1504/440387/1357/1360/23436/279/10136/5319/1506/1056/51032/63036/1358/5406/5408/5407"
"hsa04382","hsa04382","Cornified envelope formation",212,0.654234405072938,2.32861160907816,1e-10,5.85e-09,3.33333333333333e-09,1623,"tags=25%, list=8%, signal=23%","3918/3914/3880/51208/3691/3855/1308/3872/286887/29943/140576/3853/1830/57402/6282/25984/3909/3854/3728/6707/1829/6281/5339/9069/3868/9076/3856/1284/1282/6277/6768/6275/6698/26154/1364/64834/6699/3852/1366/5493/3866/823/6273/3860/3655/9517/5652/5522/6700/5010/5046/3861/667"
"hsa04518","hsa04518","Integrin signaling",152,0.652211531583056,2.27077212758471,1e-10,5.85e-09,3.33333333333333e-09,2106,"tags=41%, list=11%, signal=37%","3918/3914/3673/3694/2335/3675/3691/7058/55612/1277/4233/1278/1311/22801/1293/3909/2200/3693/2316/87/2317/6696/5159/5879/3678/1284/56034/3696/3910/81/1282/60/3690/3371/3685/7040/2064/3383/7414/5880/3688/999/3655/1499/3689/3912/83706/7422/7057/3684/3915/7059/3687/595/1291/7094/71/5156/3913/3987/3381/1956"
"hsa04820","hsa04820","Cytoskeleton in muscle cells",231,0.623208599635737,2.24820542456634,1e-10,5.85e-09,3.33333333333333e-09,2816,"tags=39%, list=14%, signal=34%","3673/3694/2335/1462/3675/3691/7058/1277/1301/1278/1311/633/22801/1290/1281/1293/2026/3728/2200/3693/1829/9260/6382/2274/7169/6385/5339/72/3678/1289/1284/2023/3696/1282/3339/7171/60/3690/3685/4811/7414/1824/375790/64423/10398/832/3688/79784/3655/1465/7791/91010/27295/4627/29766/79188/22795/27063/7057/272/481/6443/23353/7059/114793/1291/8572/7094/7168/4629/6709/71/81624/6444/483/1292/6711/829/10611/2275/4604/5318/1729/6645/84823/7136/2199/9672/1730/4001/1634"
"hsa04145","hsa04145","Phagosome",143,0.642000365515474,2.21765787439366,1e-10,5.85e-09,3.33333333333333e-09,3374,"tags=52%, list=17%, signal=44%","3673/7058/1311/4973/22925/3693/2215/2212/5879/3678/84790/2214/60/3690/4688/3685/4481/203068/2213/1520/7277/4360/3123/3688/9902/1536/7879/715/3689/3118/6891/5878/3117/7057/3134/3684/3127/3122/7037/3120/10383/7059/9341/64581/929/8992/527/3113/71/3109/811/1514/1535/10333/10376/4074/7846/9296/526/8417/10381/3115/5869/8685/7097/1778/9114/2209/7099/3119/718/537/245972/79659/1781"
"hsa04510","hsa04510","Focal adhesion",200,0.595000098403212,2.11875524953101,1e-10,5.85e-09,3.33333333333333e-09,2509,"tags=38%, list=13%, signal=34%","3918/3914/3673/3694/2335/3675/3691/7058/1277/4233/1278/1311/22801/1293/3909/3693/2316/87/2317/6696/5159/5879/3678/1284/56034/3696/3910/824/81/1282/330/60/103910/3690/3371/3685/2064/7414/4638/10398/5880/3688/3655/7791/5058/1499/2013/3912/10627/857/5595/7408/858/7422/7057/3915/387/7059/595/5578/1291/9564/7094/71/5156/3913/6093/3381/1956/5062/4659/8394/1292/5829/106821730/1729/2885"
"hsa05132","hsa05132","Salmonella infection",246,0.548212932859808,1.99076045907508,2.01247302654996e-10,1.00911147474148e-08,5.74992293299988e-09,3816,"tags=45%, list=19%, signal=37%","113146/51176/2316/3576/6237/3606/2597/10095/6281/5879/84790/302/330/60/103910/10109/578/8743/203068/6993/7277/10398/8797/4615/8795/7879/5058/5898/1499/29108/841/7295/6990/6934/10627/79026/5595/9265/10096/1785/5878/8767/9267/10392/3071/84516/10383/387/5287/3839/5216/197259/10093/929/834/5288/7132/127829/71/10097/5970/11035/64746/10333/9842/10376/23643/382/8655/9266/4074/7846/10787/3551/4646/10381/51429/3840/5869/55207/10094/7097/1778/375/7099/10552/257364/10121/8717/391/1432/581/5788/57617/5604/79659/3320/1781/10640/8772/8677/27128/9648/5868/8976/10006/836/3799/7186/10092"
"hsa05165","hsa05165","Human papillomavirus infection",322,0.516981801995355,1.90717485341293,2.57749525662312e-10,1.13087604384339e-08,6.4437381415578e-09,3533,"tags=35%, list=18%, signal=29%","3918/3914/3673/3694/2335/3675/3691/7058/1277/1278/1311/22801/1293/5315/3909/3693/6696/4600/5159/4599/3678/1284/3696/3910/1282/5584/7474/7472/3690/890/6773/3371/3685/578/6772/3688/3659/3655/1499/841/6934/84612/182/3912/84441/3845/7476/355/5663/5595/10379/4854/5522/8638/7422/3065/7057/3134/5610/29110/3915/7059/595/1021/1291/1017/8992/1739/7132/3455/527/5743/5518/3913/3381/1956/5970/8324/1292/7477/3280/7187/5829/9296/3551/8323/526/2885/3993/5925/896/1019/898/3911/10488/9114/5520/9134/9641/8717/581/537/245972/5604/7283/1026/2932/8772/1385/7157/9550/8321/9636"
"hsa04512","hsa04512","ECM-receptor interaction",88,0.681135716777044,2.22061098162705,3.03434355735156e-10,1.18339398736711e-08,6.74298568300346e-09,2090,"tags=44%, list=11%, signal=40%","3918/3914/3673/3694/2335/3675/3691/7058/1277/1278/1311/22801/1293/3909/3693/6696/6382/6385/3678/1284/3696/3910/1282/3339/3690/3371/3685/375790/3688/3655/3912/7057/3915/7059/1291/961/3161/3913/3381"
"hsa05130","hsa05130","Pathogenic Escherichia coli infection",196,0.559965868651044,1.98798342342759,2.89433675540405e-09,1.01591220114682e-07,5.78867351080809e-08,3896,"tags=47%, list=20%, signal=38%","51208/2149/55971/3576/4643/3606/2597/10095/2212/9069/9076/5879/84790/60/7430/1364/10109/2017/1366/578/8743/203068/7277/8797/4642/4615/3688/79784/8795/7456/5058/29108/4627/841/355/9181/5595/9265/10096/9267/4690/5010/3071/10383/387/4640/10458/10093/834/4629/7132/71/6093/10097/5970/5062/10376/382/9266/7846/10787/3551/4646/10672/10381/7009/2534/10094/375/7099/6714/10552/8717/100506658/1432/581/7082/8772/27128/8976/3554/4641/10006/57121/836/64005/7186/10092/4542/4628/9826/5777"
"hsa05152","hsa05152","Tuberculosis",175,0.573491434279317,2.01752495067463,4.30631863735724e-09,1.37410712882945e-07,7.82967024974045e-08,3733,"tags=46%, list=19%, signal=38%","22925/2215/7421/3552/3606/2212/7042/2214/1509/972/7040/6772/3656/2213/1520/2207/4615/4360/3123/9902/7879/841/3689/3118/5595/1263/5878/8767/3117/91860/3684/3127/3122/1051/5530/3120/387/3687/8915/7043/64581/929/805/7132/527/3113/817/3109/818/3459/5970/8877/843/10333/3460/3115/5869/64127/637/7097/9114/2209/7099/6714/3119/718/8717/3717/1432/581/537/245972/5993/8772/1385/3587/3588/4261/5868/836/3111"
"hsa05131","hsa05131","Shigellosis",242,0.531520895614827,1.92927790570514,6.08996753689111e-09,1.78131550454065e-07,1.01499458948185e-07,3895,"tags=45%, list=20%, signal=36%","3099/3710/3576/87/8354/3606/10095/5879/3678/598/8357/824/81/60/103910/8358/10109/10801/2017/80201/7414/831/340061/10398/4615/3688/8351/115004/823/643246/113026/3098/5331/29108/10627/9181/5595/7321/9265/10096/8767/9267/23157/23176/10392/826/55752/333932/29110/387/8915/5216/10093/5335/9564/7094/929/55054/834/7132/71/6093/1956/10097/5970/8878/382/64121/9266/9978/5829/3551/1729/7316/989/7335/10094/10616/5580/375/440093/3611/5330/7099/6714/10552/8968/718/8717/1432/581/2931/2932/6352/27128/7157/23048/10318/8976/5332/3554/8356/11335/54874/7186/10092/83660/9140"
"hsa04144","hsa04144","Endocytosis",241,0.52816133766649,1.91472326070746,1.28702018663497e-08,3.47495450391442e-07,1.9800310563615e-07,4023,"tags=45%, list=20%, signal=36%","11031/3561/8853/10095/5584/1212/10109/5371/3559/57154/832/50807/51510/163/7456/7879/23624/84612/857/7046/9265/10096/858/1785/4088/5878/7852/3949/9267/1173/3134/868/3303/7037/156/387/867/4734/10093/10890/8766/377/10617/9798/160/5156/23362/1956/10097/6455/8394/382/58533/9266/829/64750/30846/11021/29934/92421/10015/57132/64411/9897/5119/4218/378/27243/55737/57403/5869/25978/10938/84313/10094/30011/375/6714/10552/11311/10565/1759/830/23527/7048/79720/116985/27128/7251/1211/5868/9559/8976/55738/116984/51019/116987/3799/9146/5338/1213/10092/83737/8218/8027/51160/9765/23550"
"hsa05146","hsa05146","Amoebiasis",101,0.638378913119515,2.11572953524605,1.81022278325899e-08,4.53848712088504e-07,2.58603254751284e-07,2219,"tags=36%, list=11%, signal=32%","3918/3914/2335/6317/1277/1278/1281/3909/2769/3576/87/7042/1284/3910/81/1282/5272/7850/3315/7040/6318/7414/5052/7879/5331/3689/3912/5878/3684/3915/5578/7043/929/3913/5970/2776"
"hsa05205","hsa05205","Proteoglycans in cancer",201,0.545715410237486,1.9425615919858,2.3886244053e-08,5.58938110840199e-07,3.1848325404e-07,3308,"tags=38%, list=17%, signal=32%","3673/2335/1277/5328/4233/1278/5329/3710/4313/3693/2316/6237/6382/4318/6385/7042/4060/5879/3678/4478/3339/60/7430/7474/7472/3690/2017/3685/7040/2064/1839/3688/3091/7078/5058/1499/3845/6548/857/7476/355/5595/2065/858/8826/7422/7057/387/595/867/5578/5335/71/817/818/6093/1956/1514/4659/8324/7477/5829/8323/2885/7409/1634/6469/7097/2817/7099/6714/5499/7074/1432/5604/1026/6774"
"hsa04670","hsa04670","Leukocyte transendothelial migration",112,0.609641202164088,2.05138942314898,4.19280049114602e-08,9.19795607745159e-07,5.24100061393253e-07,2231,"tags=36%, list=11%, signal=32%","51208/4313/7070/87/4318/9069/9076/5879/4478/81/60/7430/1364/103910/4688/1366/3383/7414/1495/10398/5880/2771/3688/1536/1499/3689/10627/7408/7852/3684/5010/387/5578/5335/9564/83700/71/6093/1535/1500"
"hsa04975","hsa04975","Fat digestion and absorption",43,-0.735894952427826,-2.39011241052311,5.15238684187371e-08,1.06381634205745e-06,6.06163157867495e-07,970,"tags=26%, list=5%, signal=24%","8613/5320/81579/38/948/5319/1208/1056/5406/5408/5407"
"hsa04621","hsa04621","NOD-like receptor signaling pathway",177,0.554375357260624,1.94889093633137,5.62027105170659e-08,1.09595285508278e-06,6.24474561300732e-07,3626,"tags=38%, list=18%, signal=31%","84168/4938/3710/4939/118429/3576/4940/2635/3606/2633/1508/90550/3428/115361/598/330/2634/6773/6772/340061/4615/643246/1536/140609/5331/29108/841/7295/115362/5595/10379/8767/10392/29110/387/7128/55054/834/6041/3455/10010/55914/84674/5970/1535/11035/10059/24145/7187/3551/79184/9447/64127/10616/5580/5330/7099/22861/9641/1432/2919/3320/8772/6352/10135/331/5332"
"hsa05145","hsa05145","Toxoplasmosis",109,0.612472973926592,2.05301335943793,8.38976295166436e-08,1.5498983137022e-06,8.83132942280459e-07,3733,"tags=46%, list=19%, signal=37%","3918/3914/3909/7042/598/3910/330/240/7040/6772/4615/2771/3123/3688/3655/841/3912/3118/5595/3949/3117/3127/3122/3303/3120/3915/7043/7132/3113/3913/3109/3459/5970/23643/3460/3551/3115/3911/7097/7099/3119/3717/1432/6774/3587/3588/4261/331/836/3111"
"hsa05222","hsa05222","Small cell lung cancer",92,0.633512610533794,2.06734101590276,1.02599357636849e-07,1.80061872652671e-06,1.02599357636849e-06,4311,"tags=55%, list=22%, signal=44%","3918/3914/3673/2335/3675/3909/1164/598/1284/3910/1282/330/3685/578/3688/3655/5915/3912/3915/595/1021/1030/1017/9618/5743/3913/1871/5970/7187/3551/5925/1019/898/3911/4149/9134/581/1026/1647/7157/331/1287/836/7186/317/3908/1643/5747/10000/4790/6502"
