"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"DOID:5844","DOID:5844","myocardial infarction","13/46","366/8168",0.0355191256830601,6.30696127346163,7.81739738567526,6.29521119608653e-08,1.22337883873355e-05,9.85784055044202e-06,"COL1A1/COL6A3/EDNRA/FN1/INHBA/MMP14/PLAU/POSTN/VCAN/EGLN3/ITGA2/ITGA3/SLPI",13
"DOID:2731","DOID:2731","vesiculobullous skin disease","5/46","20/8168",0.25,44.3913043478261,14.6207918401296,6.59503417107037e-08,1.22337883873355e-05,9.85784055044202e-06,"FERMT1/ITGA3/ITGB4/LAMB3/LAMC2",5
"DOID:8502","DOID:8502","bullous skin disease","5/46","24/8168",0.208333333333333,36.9927536231884,13.2886392906737,1.77794674198585e-07,2.19872747092251e-05,1.77170833236485e-05,"FERMT1/ITGA3/ITGB4/LAMB3/LAMC2",5
"DOID:3393","DOID:3393","coronary artery disease","13/46","471/8168",0.0276008492569002,4.90095079848611,6.56294680353164,1.16345337418287e-06,0.000107910300455461,8.69528311231405e-05,"COL1A1/COL6A3/EDNRA/FN1/INHBA/MMP14/PLAU/POSTN/VCAN/EGLN3/ITGA2/ITGA3/SLPI",13
"DOID:2723","DOID:2723","dermatitis","7/46","109/8168",0.0642201834862385,11.4032708416434,8.22851144095601,2.16503680585354e-06,0.000160645730994333,0.000129446411128927,"TNFAIP6/CTSE/FERMT1/ITGA3/ITGB4/LAMB3/LAMC2",7
"DOID:2730","DOID:2730","epidermolysis bullosa","4/46","19/8168",0.210526315789474,37.3821510297483,11.9479037404049,3.20832649329196e-06,0.000198381521501886,0.000159853460367529,"ITGA3/ITGB4/LAMB3/LAMC2",4
"DOID:16","DOID:16","integumentary system disease","11/46","371/8168",0.0296495956873315,5.2647369037853,6.32694607554874,4.64972113457934e-06,0.000227858217677639,0.00018360543004809,"TNFAIP6/AP1S3/CDH3/CTSE/FERMT1/ITGA3/ITGB4/LAMB3/LAMC2/LIPH/MLPH",11
"DOID:0050827","DOID:0050827","rheumatic heart disease","4/46","21/8168",0.19047619047619,33.8219461697723,11.3332330422721,4.91338474776579e-06,0.000227858217677639,0.00018360543004809,"ACTA2/COL1A1/INHBA/LEF1",4
"DOID:14004","DOID:14004","thoracic aortic aneurysm","4/46","37/8168",0.108108108108108,19.1962397179788,8.34813055236861,5.07633812313701e-05,0.00209257938187092,0.00168617547014142,"ACTA2/COL1A1/COL6A3/MMP14",4
"DOID:4079","DOID:4079","heart valve disease","5/46","80/8168",0.0625,11.0978260869565,6.83016208444455,7.95253276505873e-05,0.00295038965583679,0.0023773887423965,"ACTA2/COL1A1/INHBA/LEF1/PLAU",5
"DOID:403","DOID:403","mouth disease","6/46","137/8168",0.0437956204379562,7.77657886385275,6.01955890397357,0.000107670509622175,0.00353545523360289,0.00284882759637742,"COL1A1/FN1/POSTN/ITGB6/LAMB3/MET",6
"DOID:6713","DOID:6713","cerebrovascular disease","10/46","434/8168",0.0230414746543779,4.09136445602084,4.98048562698245,0.000117193136042579,0.00353545523360289,0.00284882759637742,"ACTA2/ADAMTS12/CTSK/EDNRA/MMP14/VCAN/ITGA2/NQO1/SLC2A1/SLPI",10
"DOID:3627","DOID:3627","aortic aneurysm","5/46","90/8168",0.0555555555555556,9.86473429951691,6.36375944313051,0.00013942387303872,0.00353545523360289,0.00284882759637742,"ACTA2/COL1A1/COL6A3/MMP14/POSTN",5
"DOID:13089","DOID:13089","intracranial arterial disease","4/46","48/8168",0.0833333333333333,14.7971014492754,7.21454859065498,0.000142942933973163,0.00353545523360289,0.00284882759637742,"ACTA2/CTSK/MMP14/VCAN",4
"DOID:3527","DOID:3527","cerebral arterial disease","4/46","48/8168",0.0833333333333333,14.7971014492754,7.21454859065498,0.000142942933973163,0.00353545523360289,0.00284882759637742,"ACTA2/CTSK/MMP14/VCAN",4
"DOID:520","DOID:520","aortic disease","5/46","99/8168",0.0505050505050505,8.9679402722881,6.00250472479025,0.000218509218091786,0.00506668249450329,0.00408267223276758,"ACTA2/COL1A1/COL6A3/MMP14/POSTN",5
"DOID:1074","DOID:1074","kidney failure","8/46","300/8168",0.0266666666666667,4.73507246376812,4.96027991215823,0.000232828018137626,0.00508112910170938,0.00409431313629015,"COL1A1/COL6A3/FN1/PLAU/POSTN/EGLN3/MET/NQO1",8
"DOID:916","DOID:916","liver benign neoplasm","3/46","23/8168",0.130434782608696,23.1606805293006,8.00903455986303,0.000273611119688128,0.00563942918912753,0.00454418467786131,"COL1A1/MET/NQO1",3
"DOID:37","DOID:37","skin disease","8/46","341/8168",0.0234604105571848,4.16575290067576,4.49402244485835,0.000552107803300709,0.0107806313170823,0.00868690394113027,"TNFAIP6/AP1S3/CTSE/FERMT1/ITGA3/ITGB4/LAMB3/LAMC2",8
"DOID:3083","DOID:3083","chronic obstructive pulmonary disease","6/46","190/8168",0.0315789473684211,5.60732265446224,4.83567509020808,0.000632136389145113,0.0114814204975892,0.0092515914918863,"COL1A1/EDNRA/PLAU/ITGB6/NQO1/SLPI",6
"DOID:2320","DOID:2320","obstructive lung disease","6/46","191/8168",0.031413612565445,5.57796494422946,4.81779205832806,0.000649891726278633,0.0114814204975892,0.0092515914918863,"COL1A1/EDNRA/PLAU/ITGB6/NQO1/SLPI",6
"DOID:784","DOID:784","chronic kidney disease","6/46","198/8168",0.0303030303030303,5.38076416337286,4.69604239767158,0.000785309910582375,0.0128914031267142,0.0103877386522538,"COL1A1/COL6A3/FN1/PLAU/POSTN/NQO1",6
"DOID:341","DOID:341","peripheral vascular disease","4/46","75/8168",0.0533333333333333,9.47014492753623,5.54555994143843,0.000799197498421637,0.0128914031267142,0.0103877386522538,"FN1/MMP14/FERMT1/ITGA2",4
"DOID:10941","DOID:10941","intracranial aneurysm","3/46","34/8168",0.0882352941176471,15.6675191815857,6.44945089388815,0.000885281066577045,0.0136849698208368,0.0110271852152579,"CTSK/MMP14/VCAN",3
"DOID:3996","DOID:3996","urinary system cancer","8/46","372/8168",0.021505376344086,3.81860682561945,4.18744152146509,0.000978447155899535,0.0145201557935491,0.0117001680958092,"COL6A3/FN1/PLAU/EGLN3/MET/NQO1/SFN/SLC2A1",8
"DOID:3117","DOID:3117","hepatobiliary benign neoplasm","3/46","39/8168",0.0769230769230769,13.6588628762542,5.96330659154322,0.00132569408392939,0.0186490037776975,0.0150271444825254,"COL1A1/MET/NQO1",3
"DOID:305","DOID:305","carcinoma","6/46","220/8168",0.0272727272727273,4.84268774703557,4.3480668021667,0.00135720512667879,0.0186490037776975,0.0150271444825254,"LEF1/MMP14/PLAU/MET/NQO1/SFN",6
"DOID:9675","DOID:9675","pulmonary emphysema","3/46","44/8168",0.0681818181818182,12.1067193675889,5.55911784670411,0.00188376426129027,0.024959876462096,0.0201123703085126,"EDNRA/ITGB6/NQO1",3
"DOID:1474","DOID:1474","aggressive periodontitis","2/46","14/8168",0.142857142857143,25.3664596273292,6.86672725164557,0.00270468384557881,0.0346013002313702,0.027881314415404,"COL1A1/POSTN",2
"DOID:3021","DOID:3021","acute kidney failure","4/46","109/8168",0.036697247706422,6.51615476665337,4.36302613845254,0.00318256504429332,0.0393577210477607,0.0317139814940106,"FN1/EGLN3/MET/NQO1",4
"DOID:1091","DOID:1091","tooth disease","3/46","54/8168",0.0555555555555556,9.86473429951691,4.91839950845841,0.00339217273419113,0.0403568799838882,0.0325190918298319,"COL1A1/ITGB6/LAMB3",3
"DOID:11054","DOID:11054","urinary bladder cancer","5/46","183/8168",0.0273224043715847,4.85150867189356,3.96549736582424,0.00348091687192566,0.0403568799838882,0.0325190918298319,"COL6A3/FN1/PLAU/NQO1/SFN",5
"DOID:5199","DOID:5199","ureteral obstruction","3/46","56/8168",0.0535714285714286,9.51242236024845,4.8101864146493,0.00376134365563378,0.0410428969482392,0.033071876105263,"COL1A1/FN1/NQO1",3
