"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","13/77","175/18662",0.0742857142857143,18.0041558441558,14.546965762562,3.01687705332323e-13,7.45168632170838e-11,5.5891616987883e-11,"AEBP1/COL12A1/COL1A1/COL6A3/EDIL3/FN1/MXRA5/POSTN/SRPX2/THBS2/VCAN/LAMB3/LAMC2",13
"GO:0005178","GO:0005178","integrin binding","8/77","152/18662",0.0526315789473684,12.755980861244,9.36718270789553,2.1058524308174e-07,2.60072775205949e-05,1.9506843569677e-05,"EDIL3/FN1/MMP14/FERMT1/ITGA2/ITGA3/ITGB4/ITGB6",8
"GO:0005518","GO:0005518","collagen binding","6/77","72/18662",0.0833333333333333,20.1969696969697,10.5048720968983,5.0939588905995e-07,3.85744717121772e-05,2.89329086782152e-05,"AEBP1/ANTXR1/CTSK/FN1/ITGA2/ITGA3",6
"GO:0005539","GO:0005539","glycosaminoglycan binding","9/77","240/18662",0.0375,9.08863636363636,8.11790715014279,6.24687801006918e-07,3.85744717121772e-05,2.89329086782152e-05,"FN1/POSTN/SULF1/SULF2/THBS2/TNFAIP6/VCAN/LAMC2/LIPH",9
"GO:0001968","GO:0001968","fibronectin binding","4/77","30/18662",0.133333333333333,32.3151515151515,11.0488465816392,6.76665475938334e-06,0.000334272745113537,0.000250722365821362,"CTSK/IGFBP5/TNFAIP6/ITGA3",4
"GO:0045296","GO:0045296","cadherin binding","8/77","334/18662",0.0239520958083832,5.80511703864997,5.70362812525595,6.96311099176546e-05,0.00286648069161012,0.00215001321851004,"CDH11/CDH3/GPRC5A/PKM/S100A11/S100P/SFN/TRIM29",8
"GO:0043394","GO:0043394","proteoglycan binding","3/77","37/18662",0.0810810810810811,19.6511056511057,7.30951968181114,0.000474362782053764,0.0167382295953257,0.012554563855859,"CTSK/FN1/ITGA2",3
"GO:0008201","GO:0008201","heparin binding","5/77","170/18662",0.0294117647058824,7.1283422459893,5.1666264828765,0.000688315819413264,0.018951975371163,0.0142149911158095,"FN1/POSTN/THBS2/LAMC2/LIPH",5
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","3/77","42/18662",0.0714285714285714,17.3116883116883,6.81185284486952,0.000690557807046427,0.018951975371163,0.0142149911158095,"COL12A1/COL1A1/COL6A3",3
"GO:0031994","GO:0031994","insulin-like growth factor I binding","2/77","13/18662",0.153846153846154,37.2867132867133,8.42409141916858,0.00127264394688284,0.0314343054880062,0.0235774036475137,"IGFBP5/ITGB4",2
"GO:0004065","GO:0004065","arylsulfatase activity","2/77","14/18662",0.142857142857143,34.6233766233766,8.10066643059119,0.00148078583151436,0.033250372762186,0.0249395508465576,"SULF1/SULF2",2
"GO:0022858","GO:0022858","alanine transmembrane transporter activity","2/77","16/18662",0.125,30.2954545454545,7.54568946961162,0.00194227284232614,0.0376763971751178,0.0282593049342456,"SLC6A6/SLC6A14",2
"GO:0008484","GO:0008484","sulfuric ester hydrolase activity","2/77","17/18662",0.117647058823529,28.5133689839572,7.30497233791996,0.00219536880965364,0.0376763971751178,0.0282593049342456,"SULF1/SULF2",2
"GO:0019838","GO:0019838","growth factor binding","4/77","136/18662",0.0294117647058824,7.1283422459893,4.61692874262228,0.0024203703929119,0.0376763971751178,0.0282593049342456,"COL1A1/IGFBP5/SRPX2/ITGB4",4
"GO:0098641","GO:0098641","cadherin binding involved in cell-cell adhesion","2/77","18/18662",0.111111111111111,26.9292929292929,7.08416904287332,0.00246320155947135,0.0376763971751178,0.0282593049342456,"S100A11/TRIM29",2
"GO:0050840","GO:0050840","extracellular matrix binding","3/77","66/18662",0.0454545454545455,11.0165289256198,5.24699904118335,0.00256417146426264,0.0376763971751178,0.0282593049342456,"OLFML2B/ITGA2/ITGA3",3
"GO:0005520","GO:0005520","insulin-like growth factor binding","2/77","19/18662",0.105263157894737,25.511961722488,6.88063478628723,0.00274564837713409,0.0376763971751178,0.0282593049342456,"IGFBP5/ITGB4",2
"GO:0008381","GO:0008381","mechanosensitive monoatomic ion channel activity","2/77","19/18662",0.105263157894737,25.511961722488,6.88063478628723,0.00274564837713409,0.0376763971751178,0.0282593049342456,"TMC5/TMC7",2
"GO:0030297","GO:0030297","transmembrane receptor protein tyrosine kinase activator activity","2/77","20/18662",0.1,24.2363636363636,6.69219283526631,0.00304258728687345,0.0389746055428643,0.0292330303666913,"GREM1/EFNA5",2
"GO:0008028","GO:0008028","monocarboxylic acid transmembrane transporter activity","3/77","71/18662",0.0422535211267606,10.2407170294494,5.02128655771871,0.00315583850549508,0.0389746055428643,0.0292330303666913,"SLC6A6/CEACAM1/SLC2A1",3
"GO:0005283","GO:0005283","amino acid:sodium symporter activity","2/77","22/18662",0.0909090909090909,22.0330578512397,6.35363612591178,0.00367945715063498,0.0432774245812781,0.0324603738602385,"SLC6A6/SLC6A14",2
"GO:0005540","GO:0005540","hyaluronic acid binding","2/77","24/18662",0.0833333333333333,20.1969696969697,6.05717585921939,0.00437284997519884,0.0490951792670051,0.0368239997911481,"TNFAIP6/VCAN",2
