"Gene","Importance"
"LAMB3",5.61095257360935
"TMPRSS4",5.25814040559789
"SLC2A1",4.59778662853315
"TRIM29",4.43005446048404
"PLEK2",4.39603529921297
"AHNAK2",3.50031445261297
"SLC6A14",3.35255828801431
"TSPAN1",2.9199163227232
"MST1R",2.87077045703224
"SFN",2.84480013846302
"LAMC2",2.69206090976015
"ITGB4",2.59372757876144
"S100A11",2.40680865318355
"SERPINB5",2.40391666785831
"CTSE",2.37894226686307
"MTMR11",2.34849848131317
"TMC7",2.24339278055787
"ITGA3",2.08551264722078
"CDH3",2.04454040020695
"MLPH",1.79547556750855
"KRT19",1.44446059229232
"CORO2A",1.3746570619333
"MMP14",1.35719763984181
"FXYD3",1.33240498959583
"EFNA5",1.31271777827221
"MIR492",1.2857628047031
"PKM",1.26107339582993
"EDIL3",1.25458802762897
"MALL",1.2481163801258
"AP1S3",1.24737366599456
"GPRC5A",1.20631259350341
"NQO1",1.18396965877954
"CDCP1",1.15552765271004
"PLAU",1.14446490923028
"ITGA2",1.11651597413832
"S100P",1.11390100241139
"POSTN",1.11332124235688
"GREM1",1.0158261294778
"LIPH",1.01461601655092
"FERMT1",0.995556096455899
"MBOAT2",0.981169015981502
"CEACAM6",0.978710778207201
"SULF1",0.96007979368708
"IGFBP5",0.957841169411096
"FN1",0.951472887467428
"ADGRF1",0.923704239065143
"EDNRA",0.909612911063045
"CDH11",0.874075105045943
"COL1A1",0.867135870305633
"LEF1",0.865966491798956
"OCIAD2",0.864727230705233
"EGLN3",0.858350997178002
"ACTA2",0.854958383684225
"TMEM45B",0.853741824446492
"COL6A3",0.841590909460408
"INHBA",0.834169380808393
"CEACAM1",0.832908733543509
"SLC6A6",0.824651829821481
"BCAS1",0.81758617385087
"ANTXR1",0.805078943578625
"MET",0.8014248215696
"SLPI",0.800035583858652
"SULF2",0.735354877167128
"AEBP1",0.714679202805161
"MXRA5",0.71313706482319
"THBS2",0.709834878081692
"CTSK",0.675692571005851
"SRPX2",0.67564261146308
"ERN2",0.664814752976746
"OLFML2B",0.663388707847119
"VCAN",0.655898673964953
"ADAMTS12",0.652149167128781
"RAB31",0.650673256227067
"KRT7",0.609940648001137
"ITGB6",0.609087635382944
"COL12A1",0.5859501963252
"TMC5",0.576679635025011
"TNFAIP6",0.573777948076764
"LMO7",0.556690864656849
