"Gene","Importance"
"LAMB3",5.61095257360935
"TMPRSS4",5.25814040559789
"SLC2A1",4.59778662853315
"TRIM29",4.43005446048404
"PLEK2",4.39603529921297
"AHNAK2",3.50031445261297
"SLC6A14",3.35255828801431
"TSPAN1",2.9199163227232
"MST1R",2.87077045703224
"SFN",2.84480013846302
"LAMC2",2.69206090976015
"ITGB4",2.59372757876144
"S100A11",2.40680865318355
"SERPINB5",2.40391666785831
"CTSE",2.37894226686307
"MTMR11",2.34849848131317
"TMC7",2.24339278055787
"ITGA3",2.08551264722078
"CDH3",2.04454040020695
"MLPH",1.79547556750855
"KRT19",1.44446059229232
"CORO2A",1.3746570619333
"MMP14",1.35719763984181
"FXYD3",1.33240498959583
"EFNA5",1.31271777827221
"MIR492",1.2857628047031
"PKM",1.26107339582993
"EDIL3",1.25458802762897
"MALL",1.2481163801258
"AP1S3",1.24737366599456
"GPRC5A",1.20631259350341
"NQO1",1.18396965877954
"CDCP1",1.15552765271004
"PLAU",1.14446490923028
"ITGA2",1.11651597413832
"S100P",1.11390100241139
"POSTN",1.11332124235688
"GREM1",1.0158261294778
"LIPH",1.01461601655092
