"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031589","GO:0031589","cell-substrate adhesion","17/78","361/18805",0.0470914127423823,11.3532566233397,12.8186219800235,9.71318771627985e-14,1.73089005104107e-10,1.31076912129166e-10,"ANTXR1/CDH11/FN1/ITGA3/ITGB4/ITGA2/FERMT1/GREM1/ITGB6/CEACAM6/PLAU/ADAMTS12/COL1A1/POSTN/EDIL3/EFNA5/MMP14",17
"GO:0007160","GO:0007160","cell-matrix adhesion","14/78","240/18805",0.0583333333333333,14.0635683760684,13.1449301957139,1.03234863393968e-12,9.19822632840252e-10,6.9656365721614e-10,"CDH11/FN1/ITGA3/ITGB4/ITGA2/FERMT1/GREM1/ITGB6/CEACAM6/PLAU/ADAMTS12/POSTN/EFNA5/MMP14",14
"GO:0030198","GO:0030198","extracellular matrix organization","15/78","339/18805",0.0442477876106195,10.6676877694577,11.5924269192554,7.93313240471031e-12,3.07430614649817e-09,2.32811180802803e-09,"ANTXR1/CTSK/AEBP1/SULF2/OLFML2B/COL12A1/ITGA2/FERMT1/SULF1/GREM1/SERPINB5/ADAMTS12/COL1A1/POSTN/MMP14",15
"GO:0043062","GO:0043062","extracellular structure organization","15/78","340/18805",0.0441176470588235,10.6363122171946,11.5721480870491,8.27287522286987e-12,3.07430614649817e-09,2.32811180802803e-09,"ANTXR1/CTSK/AEBP1/SULF2/OLFML2B/COL12A1/ITGA2/FERMT1/SULF1/GREM1/SERPINB5/ADAMTS12/COL1A1/POSTN/MMP14",15
"GO:0045229","GO:0045229","external encapsulating structure organization","15/78","341/18805",0.0439882697947214,10.6051206857658,11.5519536350464,8.62599928871542e-12,3.07430614649817e-09,2.32811180802803e-09,"ANTXR1/CTSK/AEBP1/SULF2/OLFML2B/COL12A1/ITGA2/FERMT1/SULF1/GREM1/SERPINB5/ADAMTS12/COL1A1/POSTN/MMP14",15
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","11/78","224/18805",0.0491071428571429,11.8392284798535,10.532371172619,2.06991236990302e-09,6.14763973861196e-07,4.65548711967661e-07,"FN1/ITGA3/FERMT1/GREM1/CEACAM6/PLAU/COL1A1/POSTN/EDIL3/EFNA5/MMP14",11
"GO:0001704","GO:0001704","formation of primary germ layer","9/78","132/18805",0.0681818181818182,16.4379370629371,11.4870232590569,3.80605125032927e-09,9.68911904012395e-07,7.33738000439418e-07,"LAMB3/FN1/ITGA3/COL12A1/ITGB4/ITGA2/LEF1/INHBA/MMP14",9
"GO:0043588","GO:0043588","skin development","12/78","324/18805",0.037037037037037,8.9292497625831,9.2913792413593,8.77159616483167e-09,1.95387304571625e-06,1.47962977412029e-06,"ITGA3/ITGB4/ITGA2/FERMT1/CDH3/SFN/IGFBP5/ITGB6/MET/COL1A1/KRT7/INHBA",12
"GO:0007044","GO:0007044","cell-substrate junction assembly","7/78","96/18805",0.0729166666666667,17.5794604700855,10.5103950500364,1.42314883170896e-07,2.72977693287301e-05,2.06720658511619e-05,"CDH11/FN1/ITGB4/ITGA2/GREM1/EFNA5/MMP14",7
"GO:0007369","GO:0007369","gastrulation","9/78","202/18805",0.0445544554455446,10.741622239147,8.98367006331345,1.53186135402526e-07,2.72977693287301e-05,2.06720658511619e-05,"LAMB3/FN1/ITGA3/COL12A1/ITGB4/ITGA2/LEF1/INHBA/MMP14",9
"GO:0150115","GO:0150115","cell-substrate junction organization","7/78","103/18805",0.0679611650485437,16.3847398556136,10.1042262086021,2.31157362959894e-07,3.74474927995028e-05,2.83582525659889e-05,"CDH11/FN1/ITGB4/ITGA2/GREM1/EFNA5/MMP14",7
