"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","13/77","168/18639",0.0773809523809524,18.7312152133581,14.8689592055974,1.80740361071725e-13,5.44028486825893e-11,3.9953132447434e-11,"LAMB3/AEBP1/THBS2/FN1/LAMC2/SRPX2/COL12A1/VCAN/COL6A3/COL1A1/MXRA5/POSTN/EDIL3",13
"GO:0005178","GO:0005178","integrin binding","8/77","161/18639",0.0496894409937888,12.0280713075744,9.05143952942394,3.30399558518659e-07,4.97251335570582e-05,3.6517845941536e-05,"FN1/ITGA3/ITGB4/ITGA2/FERMT1/ITGB6/EDIL3/MMP14",8
"GO:0005518","GO:0005518","collagen binding","6/77","72/18639",0.0833333333333333,20.1720779220779,10.4977734729682,5.13042931022207e-07,5.08983518095415e-05,3.7379450533323e-05,"ANTXR1/CTSK/AEBP1/FN1/ITGA3/ITGA2",6
"GO:0005539","GO:0005539","glycosaminoglycan binding","9/77","242/18639",0.0371900826446281,9.00241494043147,8.07026652088398,6.76390057269655e-07,5.08983518095415e-05,3.7379450533323e-05,"THBS2/SULF2/FN1/LAMC2/VCAN/SULF1/LIPH/TNFAIP6/POSTN",9
"GO:0001968","GO:0001968","fibronectin binding","4/77","30/18639",0.133333333333333,32.2753246753247,11.0416396201218,6.79943514490513e-06,0.000409325995723289,0.000300606606406332,"CTSK/ITGA3/IGFBP5/TNFAIP6",4
"GO:0045296","GO:0045296","cadherin binding","8/77","334/18639",0.0239520958083832,5.79796251652539,5.69872696434439,7.02282436078053e-05,0.00352311688765823,0.00258735634344546,"CDH11/CDH3/SFN/S100P/PKM/S100A11/TRIM29/GPRC5A",8
"GO:0043394","GO:0043394","proteoglycan binding","3/77","37/18639",0.0810810810810811,19.6268866268866,7.30455805925533,0.000476061809144231,0.0204706577932019,0.015033530815081,"CTSK/FN1/ITGA2",3
"GO:0008201","GO:0008201","heparin binding","5/77","172/18639",0.0290697674418605,7.03677136816672,5.12275291384708,0.000729636159273946,0.0265810347553268,0.0195209557566659,"THBS2/FN1/LAMC2/LIPH/POSTN",5
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","3/77","44/18639",0.0681818181818182,16.504427390791,6.63157385279535,0.000794781770092828,0.0265810347553268,0.0195209557566659,"COL12A1/COL6A3/COL1A1",3
"GO:1901681","GO:1901681","sulfur compound binding","6/77","275/18639",0.0218181818181818,5.28141676505313,4.60683695842711,0.000963941593878853,0.0290146419757535,0.0213081826015326,"THBS2/FN1/LAMC2/ITGA2/LIPH/POSTN",6
"GO:0031994","GO:0031994","insulin-like growth factor I binding","2/77","13/18639",0.153846153846154,37.2407592407592,8.4186372471129,0.00127574039045875,0.0343351103750622,0.025215503335419,"ITGB4/IGFBP5",2
"GO:0038064","GO:0038064","collagen receptor activity","3/77","53/18639",0.0566037735849057,13.7017887772605,5.96406663308111,0.00136884160963703,0.0343351103750622,0.025215503335419,"MST1R/ITGA2/MET",3
"GO:0004065","GO:0004065","arylsulfatase activity","2/77","14/18639",0.142857142857143,34.5807050092764,8.09540012081414,0.00148438381132851,0.03436919440076,0.0252405344436426,"SULF2/SULF1",2
"GO:0022858","GO:0022858","alanine transmembrane transporter activity","2/77","16/18639",0.125,30.2581168831169,7.54074356824274,0.00194697931799888,0.0394492670361336,0.028971309940857,"SLC6A6/SLC6A14",2
"GO:0008484","GO:0008484","sulfuric ester hydrolase activity","2/77","17/18639",0.117647058823529,28.4782276546982,7.30016454107729,0.00220068134656173,0.0394492670361336,0.028971309940857,"SULF2/SULF1",2
"GO:0030297","GO:0030297","transmembrane receptor protein tyrosine kinase activator activity","2/77","17/18639",0.117647058823529,28.4782276546982,7.30016454107729,0.00220068134656173,0.0394492670361336,0.028971309940857,"GREM1/EFNA5",2
"GO:0019838","GO:0019838","growth factor binding","4/77","136/18639",0.0294117647058824,7.11955691367456,4.61318626263219,0.00243111158975745,0.0394492670361336,0.028971309940857,"SRPX2/ITGB4/IGFBP5/COL1A1",4
"GO:0098641","GO:0098641","cadherin binding involved in cell-cell adhesion","2/77","18/18639",0.111111111111111,26.8961038961039,7.07948740454983,0.00246915410695213,0.0394492670361336,0.028971309940857,"S100A11/TRIM29",2
"GO:0050840","GO:0050840","extracellular matrix binding","3/77","67/18639",0.0447761194029851,10.8387284357434,5.19612595019397,0.00268575801389031,0.0394492670361336,0.028971309940857,"OLFML2B/ITGA3/ITGA2",3
"GO:0005520","GO:0005520","insulin-like growth factor binding","2/77","19/18639",0.105263157894737,25.4805194805195,6.87606896110775,0.00275227444438142,0.0394492670361336,0.028971309940857,"ITGB4/IGFBP5",2
"GO:0008381","GO:0008381","mechanosensitive monoatomic ion channel activity","2/77","19/18639",0.105263157894737,25.4805194805195,6.87606896110775,0.00275227444438142,0.0394492670361336,0.028971309940857,"TMC7/TMC5",2
"GO:0008028","GO:0008028","monocarboxylic acid transmembrane transporter activity","3/77","70/18639",0.0428571428571429,10.3742115027829,5.06083457867494,0.00304190629097801,0.0416188087992901,0.0305646086653293,"SLC2A1/SLC6A6/CEACAM1",3
