"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04518",NA,NA,"hsa04518","Integrin signaling","12/45","154/9424",0.0779220779220779,16.3186147186147,13.2758571637575,4.25874547910362e-12,4.42096673531591e-10,3.70568361829599e-10,"3914/7058/2335/3918/3675/3691/3673/55612/3694/4233/1293/1277",12
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","10/45","89/9424",0.112359550561798,23.5305867665418,14.7922054093559,8.18697543577021e-12,4.42096673531591e-10,3.70568361829599e-10,"3914/7058/2335/3918/3675/3691/3673/3694/1293/1277",10
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","11/45","203/9424",0.0541871921182266,11.3480021893815,10.323764863544,1.89072506287047e-09,6.80661022633369e-08,5.70534580374949e-08,"3914/7058/2335/3918/3675/3691/3673/3694/4233/1293/1277",11
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","12/45","362/9424",0.0331491712707182,6.94217311233886,7.9856475911101,7.8686050129483e-08,2.12452335349604e-06,1.78078955556198e-06,"3914/7058/2335/3918/3675/3691/3673/3694/4233/1293/1277/1946",12
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","11/45","333/9424",0.033033033033033,6.91785118451785,7.61557872949217,3.14411447745091e-07,6.79128727129396e-06,5.69250200127954e-06,"3914/7058/2335/3918/3675/3691/3673/3694/5315/1293/1277",11
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","9/45","233/9424",0.0386266094420601,8.0892703862661,7.58963172119605,1.20702414126883e-06,2.17264345428389e-05,1.821124142967e-05,"7058/2335/3675/3691/3673/1462/3694/1293/1277",9
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","5/45","86/9424",0.0581395348837209,12.1757105943152,7.21140724909704,5.1607391638467e-05,0.000796228328136348,0.000667403861790701,"3675/3691/3673/3694/51176",5
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","5/45","93/9424",0.0537634408602151,11.2592592592593,6.8867761851873,7.51283531500559e-05,0.00101423276752575,0.000850136627750632,"3914/2335/3918/3675/3673",5
"hsa04382",NA,NA,"hsa04382","Cornified envelope formation","6/45","217/9424",0.0276497695852535,5.79047619047619,4.94506569836097,0.000535001758619161,0.00613422826015967,0.0051417507833697,"3914/3880/3918/3691/6282/3855",6
"hsa04519",NA,NA,"hsa04519","Cadherin signaling","8/45","404/9424",0.0198019801980198,4.14697469746975,4.47819756410405,0.000567984098162932,0.00613422826015967,0.0051417507833697,"1009/3880/79905/1001/4233/51176/79838/3855",8
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","4/45","99/9424",0.0404040404040404,8.4615039281706,5.16942374706976,0.00122722454969396,0.0120491137606316,0.0100996470118354,"3675/3691/3673/3694",4
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","4/45","103/9424",0.0388349514563107,8.13290183387271,5.04169059710011,0.00142153426405939,0.0126802860606722,0.0106286998169377,"3914/2335/3918/1277",4
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","4/45","105/9424",0.0380952380952381,7.97798941798942,4.98038463601479,0.00152633072952536,0.0126802860606722,0.0106286998169377,"3675/3691/3673/3694",4
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","5/45","204/9424",0.0245098039215686,5.13289760348584,4.13358481427478,0.00273601322160205,0.0211063877095016,0.0176915140644945,"2335/3673/4233/5328/1277",5
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","3/45","70/9424",0.0428571428571429,8.9752380952381,4.63891675516181,0.00445534601300249,0.0301358008375887,0.0252600279925207,"6513/4233/112399",3
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","3/45","71/9424",0.0422535211267606,8.84882629107981,4.59812749627073,0.00463650457892756,0.0301358008375887,0.0252600279925207,"6513/5315/4233",3
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","5/45","232/9424",0.021551724137931,4.51340996168582,3.75310225782214,0.00474359827999081,0.0301358008375887,0.0252600279925207,"2335/3675/3691/3673/3694",5
