"Gene","Importance"
"LAMB3",5.23704419397892
"TMPRSS4",4.81635637019962
"SLC2A1",4.47750675657583
"TRIM29",4.21606862889209
"PLEK2",4.00860669818549
"AHNAK2",3.71518005379543
"LAMC2",3.2204738177195
"MST1R",3.09713912551436
"SLC6A14",3.06257496921949
"SFN",3.04543767257899
"TSPAN1",2.8265245140328
"ITGB4",2.68762806212943
"MTMR11",2.45781612069864
"SERPINB5",2.39577851558259
"CTSE",2.3191757658992
"S100A11",2.28416247130233
"CDH3",2.12910938681859
"ITGA3",2.07812620289769
"TMC7",2.02022121572718
"MLPH",1.79591450800569
"MIR492",1.68557147672998
"MMP14",1.45387291723675
"MALL",1.40616497302335
"PKM",1.32618599679954
"POSTN",1.31737278028713
"AP1S3",1.2951057530153
"GPRC5A",1.29309109504449
"EFNA5",1.27869464346696
"S100P",1.26265421435785
"FXYD3",1.20872574707025
"LIPH",1.18631509275277
"KRT19",1.18307083038193
"SULF1",1.16977372758896
"CORO2A",1.14652938607863
"EDIL3",1.09340483033911
"IGFBP5",1.07792796331974
"MBOAT2",1.07749704960792
"ITGA2",1.0748039564015
"LEF1",1.03564968400208
"CDCP1",1.02987133109402
"CDH11",1.01223708588759
"PLAU",1.01114677836326
"TMEM45B",1.00707298901085
"ANTXR1",0.984865292226157
"GREM1",0.978963651509552
"FN1",0.978230866817385
"NQO1",0.975898490627879
"ACTA2",0.930682515668879
"EGLN3",0.915635254132597
"ADGRF1",0.913452360507467
"ERN2",0.883894698855084
"EDNRA",0.883712985657172
"COL6A3",0.881015366671295
"BCAS1",0.874704019876954
"FERMT1",0.858810243864417
"OCIAD2",0.827263797208076
"COL1A1",0.820031736938095
"SLPI",0.818672018737417
"CEACAM6",0.813481759582073
"MET",0.810313637451123
"INHBA",0.799484540533613
"VCAN",0.753139244175775
"THBS2",0.750303434745433
"CEACAM1",0.746112811632426
"SLC6A6",0.720125920950121
"SRPX2",0.714665874013889
"AEBP1",0.712677581099178
"SULF2",0.658925051668628
"CTSK",0.651130274563661
"RAB31",0.6388807219428
"OLFML2B",0.635041570496775
"MXRA5",0.633128509802243
"ADAMTS12",0.630381421325982
"KRT7",0.616294197001623
"TNFAIP6",0.579831531582499
"COL12A1",0.578707846309652
"ITGB6",0.546709343894596
"LMO7",0.540406520533475
"TMC5",0.527080219682578
