"Gene","Importance"
"LAMB3",5.23704419397892
"TMPRSS4",4.81635637019962
"SLC2A1",4.47750675657583
"TRIM29",4.21606862889209
"PLEK2",4.00860669818549
"AHNAK2",3.71518005379543
"LAMC2",3.2204738177195
"MST1R",3.09713912551436
"SLC6A14",3.06257496921949
"SFN",3.04543767257899
"TSPAN1",2.8265245140328
"ITGB4",2.68762806212943
"MTMR11",2.45781612069864
"SERPINB5",2.39577851558259
"CTSE",2.3191757658992
"S100A11",2.28416247130233
"CDH3",2.12910938681859
"ITGA3",2.07812620289769
"TMC7",2.02022121572718
"MLPH",1.79591450800569
"MIR492",1.68557147672998
"MMP14",1.45387291723675
"MALL",1.40616497302335
"PKM",1.32618599679954
"POSTN",1.31737278028713
"AP1S3",1.2951057530153
"GPRC5A",1.29309109504449
"EFNA5",1.27869464346696
"S100P",1.26265421435785
"FXYD3",1.20872574707025
"LIPH",1.18631509275277
"KRT19",1.18307083038193
"SULF1",1.16977372758896
"CORO2A",1.14652938607863
"EDIL3",1.09340483033911
"IGFBP5",1.07792796331974
"MBOAT2",1.07749704960792
"ITGA2",1.0748039564015
"LEF1",1.03564968400208
"CDCP1",1.02987133109402
"CDH11",1.01223708588759
"PLAU",1.01114677836326
"TMEM45B",1.00707298901085
