"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"LAMB3",2.14613248172509,7.09011879423447,13.9831035694002,5.78596825441071e-33,1.15568929913599e-28,64.0953602863105,"Upregulated"
"AHNAK2",1.96382628676903,6.85109535390478,13.6592850942691,7.14810521700124e-32,5.94191784889178e-28,61.6267180327652,"Upregulated"
"TMPRSS4",2.44340136550764,6.60231696408799,13.6306553901076,8.92447859551184e-32,5.94191784889178e-28,61.4087585064103,"Upregulated"
"LAMC2",2.49704463357051,7.67116757143281,13.5000966571306,2.45378857505393e-31,1.22529932495318e-27,60.415501357594,"Upregulated"
"SLC2A1",1.93201927842293,8.31974570922408,12.5929996426098,2.65412850837234e-28,1.06027125652458e-24,53.5539735097809,"Upregulated"
"TSPAN1",2.515557770036,7.78472258930883,12.5490412008067,3.71540466563437e-28,1.23685821318968e-24,53.2235891130151,"Upregulated"
"SLC6A14",2.89214782001988,6.18178040866647,12.4110249297502,1.06658282305012e-27,3.04341790108616e-24,52.1878004775514,"Upregulated"
"CTSE",2.70355918055586,8.752097710319,12.3569144845434,1.61162950737756e-27,3.72920483464245e-24,51.7823619871274,"Upregulated"
"S100A11",1.1179128592276,10.0863870001084,12.351439840959,1.68032660016932e-27,3.72920483464245e-24,51.7413626323554,"Upregulated"
"CDH3",1.64435851420581,6.60985024499189,12.272909178542,3.05664807563275e-27,5.73136418453092e-24,51.1536838898867,"Upregulated"
"KRT19",2.10697288083251,8.50896073764097,12.2686931694589,3.15635356112146e-27,5.73136418453092e-24,51.1221569080209,"Upregulated"
"MMP14",1.17357045325932,8.09424001742671,12.1969684721648,5.44728023333398e-27,9.0669979483844e-24,50.5861759228478,"Upregulated"
"ITGA2",2.0121531813258,8.12147945707088,12.14062143034,8.35877525864033e-27,1.28429366935448e-23,50.1656084853451,"Upregulated"
"GPRC5A",1.80406029492212,7.70502428823936,11.9972265990801,2.48019463945792e-26,3.53852912346661e-23,49.0973867193843,"Upregulated"
"MST1R",1.04665559520187,6.53358444908992,11.9756953477517,2.91940515821407e-26,3.88747990867786e-23,48.9372523745394,"Upregulated"
"ITGB4",1.51589072068219,7.64198381677476,11.9633234942704,3.20602602541571e-26,4.00232273947833e-23,48.8452710013039,"Upregulated"
"ASAP2",0.944743298257028,7.65957446727465,11.9154971311761,4.6036290816701e-26,5.38697937962705e-23,48.489915537272,"Not Significant"
"NQO1",1.78908381759489,7.1899042618304,11.9084767323543,4.85459241179968e-26,5.38697937962705e-23,48.4377829093025,"Upregulated"
"ANXA2P1",0.680958278544114,6.29123248895813,11.8900550705826,5.57990526115444e-26,5.86594882559467e-23,48.3010224492768,"Not Significant"
"PKM",1.00695647471028,9.6926913067578,11.8428185396933,7.97235258756761e-26,7.96198852920377e-23,47.9505876463823,"Upregulated"
"COL10A1",1.39497504211296,6.42086425999049,11.7546105792585,1.55072017210737e-25,1.31986286171747e-22,47.2971562022921,"Upregulated"
"ITGA3",1.56177066768103,7.68129691566751,11.7545847035036,1.55102256869809e-25,1.31986286171747e-22,47.2969647049586,"Upregulated"
"MBOAT2",1.5021246654683,6.99331342699331,11.7536119951393,1.56243285822657e-25,1.31986286171747e-22,47.2897661136943,"Upregulated"
"CEACAM5",2.85367817393665,7.32893193078161,11.7508447801686,1.59535327018748e-25,1.31986286171747e-22,47.2692880147764,"Upregulated"
"TMC7",1.35042733762783,6.64643907633919,11.746215753394,1.65197614613682e-25,1.31986286171747e-22,47.2350348626595,"Upregulated"
"MYOF",1.30700610779971,8.7751728720361,11.7167581566724,2.06232553214093e-25,1.58434192996088e-22,47.0171425142504,"Upregulated"
"S100A16",1.22148482309218,8.02812906868668,11.666414428411,3.01217513222426e-25,2.22834022559435e-22,46.6450964752439,"Upregulated"
"APOL1",1.4329215346047,7.68222290642936,11.6032495380125,4.8421176819429e-25,3.45415923496884e-22,46.1789127413519,"Upregulated"
"IFI27",1.27477968221284,7.89710501070366,11.5757538008929,5.95223910667781e-25,3.90590022067385e-22,45.9761989999836,"Upregulated"
"TRIP10",0.616519704066165,7.8234648572301,11.5740826942544,6.02735611387557e-25,3.90590022067385e-22,45.9638829596663,"Not Significant"
