"Gene","Module"
"A1CF","green"
"A2M","grey"
"A2ML1","grey"
"A4GALT","grey"
"A4GNT","grey"
"AAAS","grey"
"AACS","grey"
"AADAC","grey"
"AADAT","grey"
"AAGAB","turquoise"
"AAK1","grey"
"AAMDC","grey"
"AAMP","grey"
"AANAT","blue"
"AAR2","brown"
"AARS1","grey"
"AASDH","turquoise"
"AASDHPPT","yellow"
"AASS","brown"
"AATBC","blue"
"AATF","grey"
"AATK","green"
"ABAT","green"
"ABCA1","black"
"ABCA10","tan"
"ABCA11P","turquoise"
"ABCA12","grey"
"ABCA13","grey"
"ABCA15P","grey"
"ABCA2","brown"
"ABCA3","green"
"ABCA5","yellow"
"ABCA6","tan"
"ABCA7","turquoise"
"ABCA8","tan"
"ABCA9","tan"
"ABCB1","grey"
"ABCB4","red"
"ABCB6","grey"
"ABCB7","blue"
"ABCC1","grey"
"ABCC10","brown"
"ABCC2","salmon"
"ABCC3","pink"
"ABCC4","turquoise"
"ABCC5","green"
"ABCC6","grey"
"ABCC6P2","yellow"
"ABCC8","greenyellow"
"ABCC9","tan"
"ABCD1","brown"
"ABCD2","red"
"ABCD3","turquoise"
"ABCE1","turquoise"
"ABCF3","grey"
"ABCG1","yellow"
"ABCG2","grey"
"ABCG5","salmon"
"ABCG8","salmon"
"ABHD10","turquoise"
"ABHD11","pink"
"ABHD12","green"
"ABHD13","brown"
"ABHD14A-ACY1","brown"
"ABHD14B","brown"
"ABHD15","grey"
"ABHD16A","grey"
"ABHD16B","blue"
"ABHD17A","turquoise"
"ABHD17B","grey"
"ABHD17C","pink"
"ABHD18","grey"
"ABHD2","pink"
"ABHD3","grey"
"ABHD4","brown"
"ABHD5","grey"
"ABHD6","grey"
"ABI1","turquoise"
"ABI2","black"
"ABI3","red"
"ABI3BP","grey"
"ABITRAM","brown"
"ABL1","grey"
"ABL2","grey"
"ABLIM1","grey"
"ABLIM2","grey"
"ABLIM3","grey"
"ABO","turquoise"
"ABR","brown"
"ABRACL","turquoise"
"ABRAXAS1","grey"
"ABRAXAS2","blue"
"ABTB2","grey"
"ACAA1","grey"
"ACAA2","grey"
"ACACA","turquoise"
"ACACB","grey"
