"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"RAB31","black",0.95397820291367,5.26772884258898e-127,0.507956954333122,3.26040672895307e-17,TRUE
"SPARC","black",0.946154150315875,4.62898794228097e-119,0.453780951534594,1.20979623054445e-13,TRUE
"LAMB3","pink",0.941612110772929,5.61269930400005e-115,0.668668831006808,1.34726312117098e-32,TRUE
"PALLD","black",0.941517986496196,6.76540847261751e-115,0.526443312912331,1.39042309234379e-18,TRUE
"ANTXR1","black",0.939290318799126,5.15098461525868e-113,0.575133150856549,1.27225596998e-22,TRUE
"RUNX1","black",0.929315090374085,2.20830471802009e-105,0.537157806635343,2.0414602419535e-19,TRUE
"EDNRA","black",0.928169018993618,1.40756954254644e-104,0.536676825481706,2.2283415913827e-19,TRUE
"TIMP2","black",0.921239679171727,5.55049677955029e-100,0.435371826653164,1.44180280629459e-12,TRUE
"PLEK2","pink",0.918389563257651,3.26201068177005e-98,0.589123623759733,6.54005822183884e-24,TRUE
"MST1R","pink",0.915809438378114,1.1487189918099e-96,0.610548033527184,5.2021358364112e-26,TRUE
"ZNF532","black",0.915667717273285,1.39229021895349e-96,0.52258551022558,2.72893680927644e-18,TRUE
"CDH11","black",0.915029150816371,3.29777813168783e-96,0.543265876482357,6.63017471444803e-20,TRUE
"TMPRSS4","pink",0.914800410657502,4.48384909685763e-96,0.659145934933019,2.03765889742762e-31,TRUE
"CORO1C","black",0.913939665926016,1.41384409984852e-95,0.472651785179798,8.13387612882559e-15,TRUE
"SERPINH1","black",0.913631690517043,2.12611144284447e-95,0.458842057526727,5.96101372215832e-14,TRUE
"FLNA","black",0.913611087586561,2.18481998974343e-95,0.492651117557176,3.85890489090095e-16,TRUE
"KRT19","pink",0.911794122389644,2.35068073650881e-94,0.619391116327332,6.34217883008749e-27,TRUE
"DPYSL3","black",0.911392487189432,3.94688990557082e-94,0.45037210273704,1.93601714603149e-13,TRUE
"TSPAN1","pink",0.911096239208284,5.77531982528613e-94,0.627963865122025,7.7285498231839e-28,TRUE
"PDGFRB","black",0.910779255340749,8.66621181881563e-94,0.45561839257638,9.36913790166676e-14,TRUE
"CTSK","black",0.910674268539032,9.9096976312143e-94,0.417990816773813,1.30940908827915e-11,TRUE
"PXDN","black",0.907437140347538,5.71585233242326e-92,0.434040632923572,1.7149116816745e-12,TRUE
"CTSB","black",0.904449455038437,2.11746166739454e-90,0.500709980227108,1.06685376316225e-16,TRUE
"AEBP1","black",0.903280087622234,8.42910109545269e-90,0.508265301950376,3.09809112702808e-17,TRUE
"AFAP1","black",0.902083535516291,3.4026960764766e-89,0.527856945502167,1.08367944798641e-18,TRUE
"THBS2","black",0.901395426345736,7.53030268291168e-89,0.542431249474517,7.74195863492768e-20,TRUE
"KCTD10","black",0.900634032160677,1.80132475612272e-88,0.438901851155614,9.06845270754104e-13,TRUE
"SULF2","black",0.900509109290425,2.07704467857526e-88,0.48889008969767,6.95119027420993e-16,TRUE
"OLFML2B","black",0.89868943089815,1.61896418781513e-87,0.433470451357998,1.84675556390676e-12,TRUE
"CEP170","black",0.897306772419043,7.50921388642173e-87,0.443096321989617,5.19051563587588e-13,TRUE
"MFGE8","black",0.897254401279332,7.95512701156385e-87,0.44309536057627,5.19118406869161e-13,TRUE
"KIRREL1","black",0.895537968860913,5.17997924208867e-86,0.358560625770275,1.00995454964028e-08,TRUE
"FN1","black",0.894728028892076,1.23986456503909e-85,0.587594719980105,9.10935144501688e-24,TRUE
"LAMC2","pink",0.893430062011934,4.94774894074884e-85,0.655545498535552,5.54684713839099e-31,TRUE
"ASAP1","black",0.892219401749213,1.77030618538463e-84,0.362289322730179,6.9141996071511e-09,TRUE
"TMC7","pink",0.891312418768638,4.55516383650429e-84,0.602902160848886,3.04495992598962e-25,TRUE
"LRP1","black",0.889811176353286,2.13773314062174e-83,0.377356959349276,1.42205999836879e-09,TRUE
"ITGA3","pink",0.889308626888937,3.56905014501565e-83,0.603096893811284,2.91267760509814e-25,TRUE
"CDCP1","pink",0.888052656287484,1.27115924832442e-82,0.540905197142218,1.02675828615788e-19,TRUE
"ENTPD1","black",0.887856667538233,1.54770132554659e-82,0.449784601385019,2.09832456256286e-13,TRUE
"CAPZB","black",0.887733628119126,1.750949818909e-82,0.467851801335541,1.64205402941887e-14,TRUE
"ACTA2","black",0.887533372700613,2.13971500863461e-82,0.462399930648102,3.59890671268272e-14,TRUE
"SRGAP2B","black",0.887449081858132,2.32788160740231e-82,0.400727772660198,1.03713387573292e-10,TRUE
"PRRX1","black",0.886837514250025,4.28227081850167e-82,0.364694468673899,5.40093524021441e-09,TRUE
"B3GNT3","pink",0.886502051078222,5.97351875619809e-82,0.571100660944657,2.91590857451323e-22,TRUE
"MSN","black",0.883332175714408,1.3185019457092e-80,0.415849256349914,1.70365988534092e-11,TRUE
"SRPX2","black",0.882795419543131,2.20683689360382e-80,0.481588184466633,2.13511001330699e-15,TRUE
"COL12A1","black",0.88206547406654,4.42811379380254e-80,0.493211130929102,3.53294631200237e-16,TRUE
"BNC2","black",0.881956650870911,4.91063293020443e-80,0.34802952578738,2.86924382193526e-08,TRUE
"STAT2","black",0.881038477754968,1.17050954105999e-79,0.486161395663984,1.06058139461747e-15,TRUE
"PELO","black",0.880730922093889,1.56329144364609e-79,0.479892807123812,2.76011103511404e-15,TRUE
"MMP2","black",0.879433208554469,5.25390542108943e-79,0.395185168184414,1.96619026825517e-10,TRUE
"CTTNBP2NL","black",0.878799842606507,9.44537368180809e-79,0.544455600595848,5.31166346389547e-20,TRUE
"SRGAP2","black",0.877606642316139,2.82660489420845e-78,0.401594533092344,9.37404665883115e-11,TRUE
"LUM","black",0.876917202273466,5.29741733441695e-78,0.396762824622789,1.6408829813831e-10,TRUE
"FXYD3","pink",0.876896410781336,5.39840569515565e-78,0.557552803663535,4.35961539957993e-21,TRUE
"PLXDC2","black",0.876113085127751,1.09691886243938e-77,0.389059192428117,3.93296105363505e-10,TRUE
"TMEM45B","pink",0.875624273879676,1.70317225191745e-77,0.531271948751994,5.90618904016132e-19,TRUE
"ASAP2","pink",0.875576668316782,1.77756390629361e-77,0.608734027068908,7.94568077926432e-26,TRUE
"THY1","black",0.872951892945344,1.82753940565525e-76,0.409727161023409,3.578696073521e-11,TRUE
"BMPR2","black",0.87226235171347,3.34200233197285e-76,0.445013880774803,4.01159282199135e-13,TRUE
"ITGB4","pink",0.871762759003548,5.16398357013731e-76,0.609868834592478,6.09809935300017e-26,TRUE
"IFI16","black",0.870878050064492,1.11096727200583e-75,0.365587603748585,4.92501762795923e-09,TRUE
"ITGB5","black",0.870617134083998,1.39109320041474e-75,0.548029019613934,2.7145276745903e-20,TRUE
"ZEB1","black",0.870367762093986,1.72382175834704e-75,0.363771059590384,5.93962718595885e-09,TRUE
"TRPS1","black",0.869971736435404,2.42105630558544e-75,0.407685005227714,4.56880718143045e-11,TRUE
"ITGA2","pink",0.868566872036201,8.00591126954068e-75,0.61539217885225,1.65618623971614e-26,TRUE
"SGPP2","pink",0.868225940828344,1.06796377458922e-74,0.52979150724762,7.69030689250031e-19,TRUE
"ANXA1","black",0.867356982351546,2.21794604599572e-74,0.386724020978782,5.10356844713048e-10,TRUE
"JUP","pink",0.864766369096597,1.90118457771768e-73,0.528457475203916,9.74458242719613e-19,TRUE
"FERMT1","pink",0.864690743446588,2.02288679452267e-73,0.558897035843484,3.35184698111491e-21,TRUE
"RBMS1","black",0.864002341670786,3.55237853595095e-73,0.387287106231445,4.79369119178716e-10,TRUE
"CORO2A","pink",0.863695226630128,4.56233052092354e-73,0.571830695865052,2.51148429518232e-22,TRUE
"CDH3","pink",0.863594807539262,4.9506342921148e-73,0.619611877676237,6.01243827729013e-27,TRUE
"VCAN","black",0.863529319500815,5.22131568070216e-73,0.521177222534417,3.48314930284166e-18,TRUE
