"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"ABCC2","salmon",0.821086680290942,3.95675902908863e-60,-0.151113281436282,0.0189147401451356,FALSE
"ABCG5","salmon",0.928063615581299,1.66640366332721e-104,-0.0986261361978224,0.126797353894654,FALSE
"ABCG8","salmon",0.765804666078616,1.00266185121574e-47,-0.168278286431896,0.0088578683100245,FALSE
"ADGRG4","salmon",0.847169434621889,1.39407611865921e-67,-0.14210148517481,0.0274019168198834,FALSE
"ADH4","salmon",0.796596182277615,3.67926290521664e-54,-0.161382157510131,0.012115387227313,FALSE
"ADH6","salmon",0.77598555204548,9.71063747990535e-50,0.0822717461143454,0.203117678812587,FALSE
"ALPI","salmon",0.707493950038758,6.77361093579593e-38,-0.161914359853317,0.0118308580990288,FALSE
"ANKRD40CL","salmon",0.802266274321449,1.8154776701997e-55,0.0929521195218422,0.150258514448931,FALSE
"APOA4","salmon",0.938843842655638,1.20343436228923e-112,-0.0496313314826884,0.443109818151881,FALSE
"APOB","salmon",0.896927656035612,1.13932220477341e-86,-0.0188774206506277,0.770624042560602,FALSE
"APOC3","salmon",0.809284975237342,3.81347866280115e-57,-0.107493150883269,0.0959339505353268,FALSE
"AQP10","salmon",0.835178738662829,5.39977789619632e-64,-0.236330800577286,0.000213612897482563,FALSE
"ASAH2B","salmon",0.86702452463427,2.92947926399913e-74,-0.0973415865789188,0.131843514893731,FALSE
"ATOH1","salmon",0.684851981378004,1.05025589818768e-34,0.0402602631143613,0.53393521990964,FALSE
"BTNL3","salmon",0.926167560856205,3.32492641912934e-103,-0.068177299902585,0.291827718735492,FALSE
"C17orf78","salmon",0.901381371711801,7.65301058485832e-89,-0.0595640424636225,0.357210838880009,FALSE
"CCL25","salmon",0.801315493298088,3.02734619858318e-55,-0.0560276785343106,0.386522098081283,FALSE
"CEACAM20","salmon",0.766748117076194,6.58954550536643e-48,-0.0345422755786787,0.593610274226365,FALSE
"CHP2","salmon",0.777161699221936,5.5944486837774e-50,-0.0745256527682796,0.249100236605439,FALSE
"CLCA1","salmon",0.730284178411887,1.97507314589206e-41,0.029287736905783,0.650980033322836,FALSE
"CPS1-IT1","salmon",0.827683034363431,6.7913171161963e-62,-0.102237701802124,0.113408939900419,FALSE
"CREB3L3","salmon",0.837524553521024,1.13115460794687e-64,-0.0948176112207962,0.142207293906233,FALSE
"CYP3A4","salmon",0.84485900399215,7.23117280140291e-67,-0.0182869997904318,0.777607517397548,FALSE
"CYP4F2","salmon",0.844444343910742,9.68905557712562e-67,0.0573931661156769,0.37503547872952,FALSE
"DEFA5","salmon",0.931048908312723,1.26183095301291e-106,-0.0620692420127169,0.337312214101068,FALSE
"DEFA6","salmon",0.908496079894787,1.5425331014907e-92,-0.0651963025628208,0.313488354469684,FALSE
"DNAJB7","salmon",0.719507105456802,1.02571421957762e-39,-0.175232904938833,0.00638476838791244,FALSE
"ENPP3","salmon",0.819835189704907,8.39610477095393e-60,-0.155562800376422,0.0156420691871099,FALSE
"FABP1","salmon",0.900968024558107,1.22974729830118e-88,-0.0164673382398634,0.799240652313782,FALSE
"FABP2","salmon",0.936584739895335,8.00767966944016e-111,-0.0314687534334457,0.626891356499875,FALSE
"FOLH1","salmon",0.754729807617829,1.19900138345855e-45,0.122571396553424,0.0574203385598849,FALSE
"FOLH1B","salmon",0.725897129967682,1.008702317606e-40,-0.0158147040784426,0.8070379308792,FALSE
"G6PC1","salmon",0.731037868817984,1.4877045605091e-41,-0.151134985247663,0.0188974327092231,FALSE
"GBA3","salmon",0.885746833928286,1.25893590440921e-81,-0.0880478098060866,0.173068392725378,FALSE
"GIP","salmon",0.946382508659983,2.82426256308796e-119,-0.113253052485277,0.0793159660606896,FALSE
"GPA33","salmon",0.855725379261499,2.45404210101922e-70,0.0378301341883112,0.558925998561282,FALSE
"GUCY2C","salmon",0.891991190933969,2.24734629004798e-84,-0.0188035194665072,0.771497144731507,FALSE
"ITLN2","salmon",0.873058653944214,1.66396048434573e-76,-0.0865381565637081,0.180583061776509,FALSE
"KRT20","salmon",0.702459876741117,3.68310572057914e-37,0.1263041653124,0.0501803333816429,FALSE
"LCT","salmon",0.816474598155097,6.15242499244092e-59,-0.0606956854600794,0.348132983232766,FALSE
"LRRC19","salmon",0.754133725553316,1.53992878070106e-45,0.0123809187830494,0.848359830348548,FALSE
"MEP1A","salmon",0.796029122950507,4.94499603091874e-54,-0.279918029782026,1.02699851124648e-05,FALSE
"MEP1B","salmon",0.929699033261134,1.17907603352607e-105,-0.0586171377615865,0.364919509553267,FALSE
"MGAM","salmon",0.695251280932682,3.91532790933738e-36,-0.110660558939394,0.0864826489553006,FALSE
"MOGAT2","salmon",0.903484743145316,6.62724762742595e-90,-0.116682241397763,0.0705817632194638,FALSE
"MOGAT3","salmon",0.741900874690403,2.24529073528883e-43,-0.0601747353393841,0.352293709238707,FALSE
"MS4A10","salmon",0.951345825794139,3.46381227770828e-124,-0.0738382434811265,0.253504921064588,FALSE
"MTTP","salmon",0.970861070912191,2.76062206802601e-150,-0.0882136319981032,0.172257346215254,FALSE
"MYRFL","salmon",0.795766344885297,5.66932930046516e-54,-0.154629232174072,0.016284408100918,FALSE
"NAT8B","salmon",0.862430854253432,1.26995159991505e-72,-0.104514486253646,0.10555465795877,FALSE
"NPY6R","salmon",0.911964542174217,1.88526113270263e-94,-0.0895637087115495,0.165758910919165,FALSE
