"Gene","Module"
"ABCC2","salmon"
"ABCG5","salmon"
"ABCG8","salmon"
"ADGRG4","salmon"
"ADH4","salmon"
"ADH6","salmon"
"ALPI","salmon"
"ANKRD40CL","salmon"
"APOA4","salmon"
"APOB","salmon"
"APOC3","salmon"
"AQP10","salmon"
"ASAH2B","salmon"
"ATOH1","salmon"
"BTNL3","salmon"
"C17orf78","salmon"
"CCL25","salmon"
"CEACAM20","salmon"
"CHP2","salmon"
"CLCA1","salmon"
"CPS1-IT1","salmon"
"CREB3L3","salmon"
"CYP3A4","salmon"
"CYP4F2","salmon"
"DEFA5","salmon"
"DEFA6","salmon"
"DNAJB7","salmon"
"ENPP3","salmon"
"FABP1","salmon"
"FABP2","salmon"
"FOLH1","salmon"
"FOLH1B","salmon"
"G6PC1","salmon"
"GBA3","salmon"
"GIP","salmon"
"GPA33","salmon"
"GUCY2C","salmon"
"ITLN2","salmon"
"KRT20","salmon"
"LCT","salmon"
"LRRC19","salmon"
"MEP1A","salmon"
"MEP1B","salmon"
"MGAM","salmon"
"MOGAT2","salmon"
"MOGAT3","salmon"
"MS4A10","salmon"
"MTTP","salmon"
"MYRFL","salmon"
"NAT8B","salmon"
"NPY6R","salmon"
"OTC","salmon"
"OTOP3","salmon"
"PLA2G12B","salmon"
"RBP2","salmon"
"S100G","salmon"
"SI","salmon"
"SLC10A2","salmon"
"SLC13A2","salmon"
"SLC26A3","salmon"
"SLC28A1","salmon"
"SLC28A2","salmon"
"SLC30A10","salmon"
"SLC51A","salmon"
"SLC6A19","salmon"
"SLC7A9","salmon"
"SULT2A1","salmon"
"TM6SF2","salmon"
"TMPRSS15","salmon"
"TREH","salmon"
"TRIM36","salmon"
"TRPM6","salmon"
"TUBAL3","salmon"
"UGT2B17","salmon"
"XPNPEP2","salmon"
"ZG16","salmon"
"ABCC8","greenyellow"
"ANKS1B","greenyellow"
"APOH","greenyellow"
"ASB9","greenyellow"
"ATRNL1","greenyellow"
"BAIAP3","greenyellow"
"BMP5","greenyellow"
"CACNA1A","greenyellow"
"CACNA1D","greenyellow"
"CACNA2D2","greenyellow"
"CAMK2B","greenyellow"
"CASR","greenyellow"
"CDH10","greenyellow"
"CELF3","greenyellow"
"CERKL","greenyellow"
"CES4A","greenyellow"
"CHGA","greenyellow"
"CHGB","greenyellow"
"CNIH2","greenyellow"
"CRMP1","greenyellow"
"CRYBA2","greenyellow"
"CSRNP3","greenyellow"
"DACH1","greenyellow"
"DDX25","greenyellow"
"DLK1","greenyellow"
"DNAJC6","greenyellow"
"DPP6","greenyellow"
"DUSP26","greenyellow"
"DYNC1I1","greenyellow"
"ELAVL4","greenyellow"
"F10","greenyellow"
"FAM135B","greenyellow"
"FFAR1","greenyellow"
"FGF14","greenyellow"
"FMN2","greenyellow"
"FRRS1L","greenyellow"
"FSTL5","greenyellow"
"FYB2","greenyellow"
"G6PC2","greenyellow"
"GABRG2","greenyellow"
"GAD2","greenyellow"
"GC","greenyellow"
"GCG","greenyellow"
"GJD2","greenyellow"
"GLRA1","greenyellow"
"GNAO1","greenyellow"
"GNG4","greenyellow"
"GPM6A","greenyellow"
"GPR119","greenyellow"
"GRIA2","greenyellow"
"GRIA3","greenyellow"
"HEPACAM2","greenyellow"
"HMGCLL1","greenyellow"
"HTR1F","greenyellow"
"ICA1L","greenyellow"
"INA","greenyellow"
"ISL1","greenyellow"
"KCNB2","greenyellow"
"KCNH6","greenyellow"
"KCNIP1","greenyellow"
"KCNJ6","greenyellow"
"KCNK16","greenyellow"
"KCNK17","greenyellow"
"KCNMB2","greenyellow"
"KIF5C","greenyellow"
"LRRTM3","greenyellow"
"MAP2","greenyellow"
"MAP3K15","greenyellow"
"MCF2L2","greenyellow"
"MEIS2","greenyellow"
"MIR7-3HG","greenyellow"
"MRAP2","greenyellow"
"MTCL3","greenyellow"
"MTMR7","greenyellow"
"MTUS2","greenyellow"
"MYO3A","greenyellow"
"MYT1L","greenyellow"
"NEUROD1","greenyellow"
"NKX2-2","greenyellow"
"NOL4","greenyellow"
"NRXN1","greenyellow"
"OTOGL","greenyellow"
"PAX6","greenyellow"
"PCLO","greenyellow"
"PCSK1","greenyellow"
"PCSK2","greenyellow"
"PGR","greenyellow"
"PLCXD3","greenyellow"
"PLPPR1","greenyellow"
"PTPRN","greenyellow"
"RAB3C","greenyellow"
"RADX","greenyellow"
"RASGRF1","greenyellow"
"RFX6","greenyellow"
"RGS9","greenyellow"
"RIMBP2","greenyellow"
"RIMS2","greenyellow"
"RTN1","greenyellow"
"RUNDC3A","greenyellow"
"RXRG","greenyellow"
"SCG2","greenyellow"
"SCG3","greenyellow"
"SCG5","greenyellow"
"SCGN","greenyellow"
"SERTAD4BP","greenyellow"
"SEZ6L","greenyellow"
"SH3GL2","greenyellow"
"SHISAL2B","greenyellow"
"SIM1","greenyellow"
"SLC17A6","greenyellow"
"SLC29A4","greenyellow"
"SLC30A8","greenyellow"
"SLC4A10","greenyellow"
"SLC6A17","greenyellow"
