"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"ABAT","green",0.895649538182199,4.5906083560073e-86,-0.469518162441504,1.28828810386694e-14,TRUE
"ADAMTS17","green",0.863416176046121,5.7239318014857e-73,-0.450549259525938,1.8895267591419e-13,TRUE
"AFMID","green",0.915444947397737,1.88239602746533e-96,-0.260421855102182,4.26461928716577e-05,TRUE
"ALAD","green",0.838601421621881,5.47338567468472e-65,-0.286619196257195,6.13687868492695e-06,TRUE
"AMHR2","green",0.887942484921182,1.41995498448898e-82,-0.422124064616374,7.83722503412589e-12,TRUE
"ANGEL1","green",0.8086806694958,5.35168976119185e-57,-0.325116030019898,2.44548397451479e-07,TRUE
"ANPEP","green",0.834275533587352,9.79292650770228e-64,-0.405667849201198,5.80602248908813e-11,TRUE
"ANTXR2","green",-0.855727813488633,2.44947618573822e-70,0.489692099372012,6.1350548462296e-16,TRUE
"APLP1","green",0.830883013748612,8.87682451742775e-63,-0.323048551330477,2.94209124889707e-07,TRUE
"AQP12A","green",0.920951013752937,8.44371054162608e-100,-0.472289111576639,8.58057476377826e-15,TRUE
"AQP8","green",0.899017311647238,1.12151882418478e-87,-0.453520101677723,1.25434812580461e-13,TRUE
"ARHGAP42","green",-0.842008787997796,5.31161642333289e-66,0.449039416195089,2.32339909564582e-13,TRUE
"ARHGDIG","green",0.935348925049008,7.45746840389935e-110,-0.456400204764638,8.39967865700505e-14,TRUE
"ARL4C","green",-0.805086769698353,3.91768859045657e-56,0.463658260729286,3.00643807788017e-14,TRUE
"ATP13A2","green",0.805370084020554,3.35376773944196e-56,-0.210643880633306,0.00100164848417137,TRUE
"B2M","green",-0.867039774447453,2.89237551644989e-74,0.450964418789794,1.78480683379249e-13,TRUE
"BACE1","green",0.927057729636179,8.23813776291526e-104,-0.444592756874039,4.24571161325787e-13,TRUE
"BANF2","green",0.89759426593885,5.46796207082917e-87,-0.403214077849158,7.75434126418363e-11,TRUE
"BCAT2","green",0.858116346323207,3.87460377526142e-71,-0.314899473134308,6.01654389449133e-07,TRUE
"BHLHA15","green",0.935361901914542,7.28643855938761e-110,-0.368703280994001,3.56198290475205e-09,TRUE
"BICDL2","green",0.815003103173129,1.45284154788638e-58,-0.269148246245076,2.28560753459246e-05,TRUE
"BRSK2","green",0.904903134378713,1.23298940516436e-90,-0.443194440630189,5.12273736597028e-13,TRUE
"C10orf62","green",0.82000200663734,7.59752576354887e-60,-0.349934195855758,2.38219885572283e-08,TRUE
"C1orf56","green",0.827336035639247,8.44662626574057e-62,-0.320791708861896,3.59435385755555e-07,TRUE
"C2CD4B","green",0.858692835229576,2.47024725876628e-71,-0.452827762114013,1.38050914952903e-13,TRUE
"CBFB","green",-0.82071727778524,4.94365266644071e-60,0.449060837764139,2.31661171043932e-13,TRUE
"CBS","green",0.930282504194981,4.51262555320523e-106,-0.431177755068277,2.48398821772706e-12,TRUE
"CCDC110","green",0.855783370239007,2.3475242841628e-70,-0.461130957227536,4.31147358302931e-14,TRUE
"CDNF","green",0.81342766832419,3.61472029861257e-58,-0.430288077200396,2.78513724830191e-12,TRUE
