"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"ACTA2","green",0.880393425187529,2.14555729049637e-79,0.462399930648103,3.59890671268258e-14,TRUE
"ACVR1","green",0.846621178897137,2.06538864848611e-67,0.459637592554579,5.32769199905763e-14,TRUE
"ADAM9","green",0.814518572005143,1.92471874139485e-58,0.522116580502061,2.960306813801e-18,TRUE
"ADAMTS12","green",0.871915994154814,4.51966110381251e-76,0.552778200717852,1.09850642562752e-20,TRUE
"AEBP1","green",0.845383696929064,4.98748022639155e-67,0.508265301950376,3.09809112702808e-17,TRUE
"AFAP1","green",0.874998897338291,2.98232690006024e-77,0.527856945502167,1.08367944798641e-18,TRUE
"ANOS1","green",0.816023439222993,8.01338753417854e-59,0.52605394193959,1.48892775774917e-18,TRUE
"ANTXR1","green",0.930362584529108,3.95274383988187e-106,0.575133150856549,1.27225596997997e-22,TRUE
"ANXA1","green",0.806901282752475,1.44147421071909e-56,0.386724020978782,5.10356844713037e-10,TRUE
"ANXA2","green",0.807519554692921,1.02281485147765e-56,0.579012017350564,5.6674106797611e-23,TRUE
"ANXA2P2","green",0.813781430683591,2.9479030911354e-58,0.591835500550663,3.61782536872471e-24,TRUE
"APOL1","green",0.841379880328173,8.2035816140687e-66,0.598158570861318,8.9003202298666e-25,TRUE
"ARL4C","green",0.833143456118938,2.05480332594699e-63,0.463658260729286,3.00643807788017e-14,TRUE
"ATP2A2","green",0.819032348092437,1.35628207366477e-59,0.343078826530213,4.62656930437048e-08,TRUE
"ATP6AP2","green",0.820947579832463,4.30310358763931e-60,0.310456434959688,8.8084157356524e-07,TRUE
"BICD1","green",0.826555358649913,1.37731549102246e-61,0.470684034740704,1.08629190345438e-14,TRUE
"BNC2","green",0.83219016980102,3.81880472967952e-63,0.34802952578738,2.86924382193524e-08,TRUE
"CALD1","green",0.919507828674965,6.71667937525348e-99,0.430021467081205,2.88211355484902e-12,TRUE
"CALHM5","green",0.804151954470809,6.53064298476016e-56,0.377957172892524,1.33297403716305e-09,TRUE
"CALU","green",0.845341229397093,5.13997517169854e-67,0.449026155190177,2.3276105441069e-13,TRUE
"CAMSAP2","green",0.828610944729527,3.78088251195047e-62,0.353780166588438,1.63005654521166e-08,TRUE
"CAP1","green",0.874478807842256,4.74129365940252e-77,0.549443835422063,2.07635467434536e-20,TRUE
"CAPZB","green",0.890337615016287,1.24626717623843e-83,0.46785180133554,1.64205402941896e-14,TRUE
"CBFB","green",0.827818043377992,6.23791967605306e-62,0.449060837764139,2.31661171043932e-13,TRUE
"CD109","green",0.828852681705921,3.24396745548088e-62,0.486914258245146,9.44240330940894e-16,TRUE
"CDH11","green",0.932706320595725,7.62113837602853e-108,0.543265876482357,6.63017471444851e-20,TRUE
"CEP170","green",0.818043525118757,2.44035540925755e-59,0.443096321989617,5.19051563587598e-13,TRUE
"COL12A1","green",0.930220879033764,4.99637274567908e-106,0.493211130929102,3.5329463120025e-16,TRUE
"COL1A1","green",0.869812593349397,2.77425558934457e-75,0.477007842115588,4.25855176605788e-15,TRUE
"COL1A2","green",0.876657793796745,6.70321482651032e-78,0.446925070488483,3.09809383092728e-13,TRUE
"COL3A1","green",0.858890649251662,2.11573887531286e-71,0.425716742079511,4.98793938024412e-12,TRUE
"COL4A1","green",0.823856385670506,7.32930329339833e-61,0.392293759129138,2.7321851764611e-10,TRUE
"COL4A2","green",0.819019303345336,1.36686472546791e-59,0.472004361382823,8.94802572958308e-15,TRUE
"COL5A2","green",0.89828872576829,2.53127128466816e-87,0.43514715393761,1.48471736548922e-12,TRUE
"COL6A3","green",0.908706824765169,1.18631348274104e-92,0.435467844185269,1.42383362980869e-12,TRUE
"COL8A1","green",0.823214112352479,1.08645193195733e-60,0.477984000510302,3.67904279076918e-15,TRUE
"CORO1C","green",0.883065991659315,1.70274001795111e-80,0.472651785179798,8.13387612882574e-15,TRUE
"CSGALNACT2","green",0.875800986069015,1.45302207746597e-77,0.408466785655045,4.16177695106197e-11,TRUE
"CTNNB1","green",0.878041910020406,1.89752343881309e-78,0.453494533272971,1.25880032979802e-13,TRUE
"CTSB","green",0.907044356648909,9.25420825418822e-92,0.500709980227108,1.06685376316228e-16,TRUE
"CTSK","green",0.892787230643893,9.75448829610084e-85,0.417990816773813,1.30940908827907e-11,TRUE
"CTTNBP2NL","green",0.86344210350959,5.60468205695682e-73,0.544455600595847,5.31166346389588e-20,TRUE
"DGKH","green",0.869730012108499,2.97717951637497e-75,0.519120428167587,4.96446537138484e-18,TRUE
"DPYSL3","green",0.915174172569521,2.71288732807111e-96,0.45037210273704,1.93601714603146e-13,TRUE
