"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"AQP10","cyan",0.841132627252536,9.72736317047322e-66,0.236330800577286,0.000213612897482563,-0.236330800577286,0.000213612897482563,FALSE,TRUE
"MEP1A","cyan",0.800309579203899,5.18443969839917e-55,0.279918029782026,1.02699851124648e-05,-0.279918029782026,1.02699851124648e-05,FALSE,TRUE
"ACP4","turquoise",0.862452815062855,1.24767873335698e-72,0.275502532023871,1.43147589695522e-05,-0.275502532023871,1.43147589695522e-05,FALSE,TRUE
"ACTL9","turquoise",0.89678046048516,1.3389110124159e-86,0.206709916116346,0.00124989302157339,-0.206709916116346,0.00124989302157339,FALSE,TRUE
"ADGRA1","turquoise",0.888429836497772,8.69421309409111e-83,0.209082348147025,0.00109418520431275,-0.209082348147025,0.00109418520431275,FALSE,TRUE
"ADGRD2","turquoise",0.922007468258179,1.80427137314621e-100,0.210878704089763,0.00098837280015538,-0.210878704089763,0.00098837280015538,FALSE,TRUE
"ADGRF3","turquoise",0.834361076387492,9.25749083796836e-64,0.266629142858515,2.7426280478352e-05,-0.266629142858515,2.7426280478352e-05,FALSE,TRUE
"ADRA2B","turquoise",0.80825712922776,6.78149871359991e-57,0.247390675082222,0.000103998641644951,-0.247390675082222,0.000103998641644951,FALSE,TRUE
"ADRA2C","turquoise",0.804676219784996,4.90504323360462e-56,0.275457781597607,1.43625971886861e-05,-0.275457781597607,1.43625971886861e-05,FALSE,TRUE
"ADRB1","turquoise",0.910825280210847,8.17106819631067e-94,0.231419751273858,0.000290946602087513,-0.231419751273858,0.000290946602087513,FALSE,TRUE
"ALKBH4","turquoise",0.838385075446868,6.33548407252182e-65,0.222037898628992,0.000515672864950434,-0.222037898628992,0.000515672864950434,FALSE,TRUE
"ALX4","turquoise",0.890961680532136,6.55021180349161e-84,0.206167609766977,0.00128822848348432,-0.206167609766977,0.00128822848348432,FALSE,TRUE
"AMER2","turquoise",0.840511103382864,1.49083904882084e-65,0.206158013674097,0.00128891643532188,-0.206158013674097,0.00128891643532188,FALSE,TRUE
"AMH","turquoise",0.924810907818659,2.69654401132398e-102,0.216948216568929,0.000696616775921159,-0.216948216568929,0.000696616775921159,FALSE,TRUE
"ANKRD24","turquoise",0.805877685012944,2.53701833424623e-56,0.227488439659817,0.000370856278540335,-0.227488439659817,0.000370856278540335,FALSE,TRUE
"ANKRD33B","turquoise",0.819347365126831,1.12396326762836e-59,0.234411379185103,0.000241217048533727,-0.234411379185103,0.000241217048533727,FALSE,TRUE
"ANKRD53","turquoise",0.823044594407535,1.20507482254247e-60,0.246151777463849,0.00011291916152508,-0.246151777463849,0.00011291916152508,FALSE,TRUE
"ARHGAP33","turquoise",0.850704103254529,1.06491191914618e-68,0.235377542069544,0.000226931238854271,-0.235377542069544,0.000226931238854271,FALSE,TRUE
"ARK2C","turquoise",0.826362573929989,1.55349089507393e-61,0.243299077830454,0.000136259257310737,-0.243299077830454,0.000136259257310737,FALSE,TRUE
"ARMC5","turquoise",0.920665377900533,1.27685109535585e-99,0.218183996409279,0.000647963338121801,-0.218183996409279,0.000647963338121801,FALSE,TRUE
"ART5","turquoise",0.802792234109016,1.36654298439189e-55,0.2125111295876,0.000900466463764599,-0.2125111295876,0.000900466463764599,FALSE,TRUE
"ASB16","turquoise",0.80335928774302,1.00507501086605e-55,0.286075593365517,6.40181507336447e-06,-0.286075593365517,6.40181507336447e-06,FALSE,TRUE
"ASB18","turquoise",0.804961595380114,4.19581336545296e-56,0.260170256600048,4.34061044788842e-05,-0.260170256600048,4.34061044788842e-05,FALSE,TRUE
"ASCL5","turquoise",0.819294486124573,1.16000621557019e-59,0.247196771301384,0.000105349764959281,-0.247196771301384,0.000105349764959281,FALSE,TRUE
"ASGR1","turquoise",0.856427452741911,1.43217364497711e-70,0.282537672144598,8.41078351930752e-06,-0.282537672144598,8.41078351930752e-06,FALSE,TRUE
"ASPDH","turquoise",0.891120835085958,5.55570859677494e-84,0.203187369134994,0.00151883522509256,-0.203187369134994,0.00151883522509256,FALSE,TRUE
"ASTL","turquoise",0.883480278378687,1.14331617739153e-80,0.280778199733982,9.62027019927511e-06,-0.280778199733982,9.62027019927511e-06,FALSE,TRUE
"ATCAY","turquoise",0.81719911269591,4.01859789594449e-59,0.203826223448057,0.00146643514802093,-0.203826223448057,0.00146643514802093,FALSE,TRUE
"ATP7A","turquoise",-0.869172837411637,4.78753153956832e-75,-0.256055467343285,5.77962636483021e-05,0.256055467343285,5.77962636483021e-05,FALSE,TRUE
"ATXN7L2","turquoise",0.849655553050931,2.29960723935622e-68,0.237778129792465,0.000194779225529018,-0.237778129792465,0.000194779225529018,FALSE,TRUE
"B3GAT1","turquoise",0.811434026831764,1.13152082772726e-57,0.245634265680903,0.000116853731108978,-0.245634265680903,0.000116853731108978,FALSE,TRUE
"B4GALNT4","turquoise",0.834095819418103,1.10196716699461e-63,0.227031447352975,0.000381364953705416,-0.227031447352975,0.000381364953705416,FALSE,TRUE
"BARHL2","turquoise",0.840375942548892,1.63550381053319e-65,0.245524028714971,0.000117708279791604,-0.245524028714971,0.000117708279791604,FALSE,TRUE
"BCAN","turquoise",0.838603110936908,5.46713330908904e-65,0.253770944493185,6.76156195001745e-05,-0.253770944493185,6.76156195001745e-05,FALSE,TRUE
"BOD1L2","turquoise",0.852135405018423,3.68777589983557e-69,0.245476843856316,0.000118075839970656,-0.245476843856316,0.000118075839970656,FALSE,TRUE
"BPIFB3","turquoise",0.900340075246325,2.51773563618315e-88,0.221603693317123,0.000529215857995469,-0.221603693317123,0.000529215857995469,FALSE,TRUE
"BPIFB6","turquoise",0.876784584439128,5.97517479840647e-78,0.225919282790419,0.00040810592823718,-0.225919282790419,0.00040810592823718,FALSE,TRUE
"BRWD3","turquoise",-0.833725262545565,1.40495150420383e-63,-0.251790424254983,7.73773358492449e-05,0.251790424254983,7.73773358492449e-05,FALSE,TRUE
"BTBD10","turquoise",-0.817749547591281,2.9039970467907e-59,-0.306718397465725,1.20810018617136e-06,0.306718397465725,1.20810018617136e-06,FALSE,TRUE
"C14orf180","turquoise",0.883423144236208,1.20798426430734e-80,0.208415914511095,0.00113601929983611,-0.208415914511095,0.00113601929983611,FALSE,TRUE
"C16orf92","turquoise",0.836275192885011,2.60861962007087e-64,0.229202914035305,0.000333782514155267,-0.229202914035305,0.000333782514155267,FALSE,TRUE
"C1QL2","turquoise",0.80636725968079,1.93677348636761e-56,0.251359158681586,7.96716880228506e-05,-0.251359158681586,7.96716880228506e-05,FALSE,TRUE
