"Gene","Module"
"A1CF","yellow"
"A2M","salmon"
"A2ML1","grey"
"A3GALT2","turquoise"
"A4GALT","grey"
"A4GNT","grey"
"AAAS","grey"
"AACS","grey"
"AADAC","grey"
"AADACL2","grey"
"AADACL3","grey"
"AADACL4","grey"
"AADAT","grey"
"AAGAB","blue"
"AAK1","brown"
"AAMDC","grey"
"AAMP","grey"
"AANAT","turquoise"
"AAR2","brown"
"AARD","turquoise"
"AARS1","grey"
"AARS2","grey"
"AASDH","blue"
"AASDHPPT","blue"
"AASS","brown"
"AATBC","turquoise"
"AATF","blue"
"AATK","yellow"
"ABAT","yellow"
"ABCA1","green"
"ABCA10","tan"
"ABCA11P","blue"
"ABCA12","grey"
"ABCA13","grey"
"ABCA15P","grey"
"ABCA2","brown"
"ABCA3","grey"
"ABCA4","turquoise"
"ABCA5","blue"
"ABCA6","tan"
"ABCA7","blue"
"ABCA8","tan"
"ABCA9","tan"
"ABCB1","grey"
"ABCB10","grey"
"ABCB11","grey"
"ABCB4","red"
"ABCB5","grey"
"ABCB6","grey"
"ABCB7","turquoise"
"ABCB8","turquoise"
"ABCB9","grey"
"ABCC1","grey"
"ABCC10","brown"
"ABCC11","grey"
"ABCC12","grey"
"ABCC13","grey"
"ABCC2","cyan"
"ABCC3","black"
"ABCC4","grey"
"ABCC5","grey"
"ABCC6","yellow"
"ABCC6P2","yellow"
"ABCC8","greenyellow"
"ABCC9","tan"
"ABCD1","blue"
"ABCD2","red"
"ABCD3","blue"
"ABCD4","grey"
"ABCE1","blue"
"ABCF1","grey"
"ABCF2-H2BK1","grey"
"ABCF3","grey"
"ABCG1","yellow"
"ABCG2","grey"
"ABCG4","turquoise"
"ABCG5","cyan"
"ABCG8","cyan"
"ABHD1","turquoise"
"ABHD10","blue"
"ABHD11","grey"
"ABHD12","yellow"
"ABHD12B","grey"
"ABHD13","brown"
"ABHD14A-ACY1","brown"
"ABHD14B","brown"
"ABHD15","grey"
"ABHD16A","grey"
"ABHD16B","turquoise"
"ABHD17A","blue"
"ABHD17B","grey"
"ABHD17C","black"
"ABHD18","grey"
"ABHD2","black"
"ABHD3","grey"
"ABHD4","brown"
"ABHD5","grey"
"ABHD6","grey"
"ABHD8","turquoise"
"ABI1","blue"
"ABI2","green"
"ABI3","red"
"ABI3BP","salmon"
"ABITRAM","brown"
"ABL1","grey"
"ABL2","grey"
"ABLIM1","grey"
"ABLIM2","grey"
"ABLIM3","yellow"
"ABO","grey"
"ABR","magenta"
"ABRA","grey"
"ABRACL","blue"
"ABRAXAS1","grey"
"ABRAXAS2","turquoise"
"ABT1","grey"
"ABTB1","grey"
"ABTB2","grey"
