"Gene","MM","GS"
"LAMB3",0.944161910777099,0.668668831006809
"PLEK2",0.923699070580171,0.589123623759733
"MST1R",0.923129679921093,0.610548033527184
"TMPRSS4",0.918867502327353,0.659145934933019
"B3GNT3",0.911348400845897,0.571100660944657
"KRT19",0.902614164517768,0.619391116327332
"ITGA3",0.898550491044503,0.603096893811284
"TSPAN1",0.895834715784168,0.627963865122025
"ITGB4",0.888141100195598,0.609868834592478
"TMC7",0.883515549413203,0.602902160848886
"CDCP1",0.882744693390106,0.540905197142218
"JUP",0.881943731195932,0.528457475203916
"FXYD3",0.877854129490447,0.557552803663536
"LAMC2",0.877186467304478,0.655545498535552
"SFN",0.877090976221502,0.595293281364987
"ASAP2",0.867060723825782,0.608734027068908
"TMEM45B",0.866473186292188,0.531271948751994
"CDH3",0.86536766557615,0.619611877676238
"GALE",0.864515521143796,0.534942661843747
"CORO2A",0.864343277211814,0.571830695865053
"MLPH",0.859867997113333,0.595605807531195
"SGPP2",0.856537917625299,0.52979150724762
"ITPR3",0.856486303346782,0.585337504015709
"LPCAT4",0.856256363711575,0.553220818068366
"FERMT1",0.854159170537467,0.558897035843484
"KLF5",0.853683538055693,0.485114124847147
"S100P",0.85179399841586,0.574152024817465
"MIR492",0.850349518037352,0.551253630255212
"LIPH",0.850153994123263,0.49658433094073
"FAM83B",0.848839599165697,0.49597106808028
"SLC2A1",0.84826605248914,0.629365391593289
"BCAS1",0.847744528132701,0.553566426943548
"ITGA2",0.845171389357325,0.61539217885225
"MGAT4B",0.843287778651571,0.501866925776644
"SDCBP2",0.842449767966841,0.509936407048051
"SERINC2",0.842143517796241,0.467518248761572
"AP1S3",0.841196766957188,0.549596623266662
"SMAGP",0.839109404115342,0.503429803550347
"S100A16",0.83905994208007,0.600349747574425
"CLDN12",0.834016222953196,0.488146229469866
"OCIAD2",0.833895741617824,0.520265591767917
"AHNAK2",0.833861090220714,0.659997024651921
"CTSE",0.833721561217441,0.622071542563489
"TRIM29",0.83201580837777,0.595660985994924
"CEACAM1",0.832003577907883,0.546890731937345
"MBOAT2",0.830310031861704,0.603084057191617
"MTMR11",0.829973489148195,0.592126562721373
"ITGB6",0.829757365257469,0.552475464132579
"SERPINB5",0.828771257009286,0.571382181087162
"NECTIN4",0.828436670475522,0.512802972646125
"ANXA2P1",0.827565191128077,0.608518948069044
"JPT1",0.827137027978124,0.540866861918068
"CEACAM6",0.826115392514359,0.596970624047328
"MALL",0.824929475966212,0.580925494506859
"FLNB",0.824567032353183,0.543677014916699
"MET",0.823911530962464,0.540834482664408
"TMEM54",0.822551008022161,0.460735403256314
"DOCK5",0.822094766580322,0.546303478239729
"EGLN3",0.821532558719202,0.540134741421522
"SDC1",0.820371491161442,0.556653213883799
"ERN2",0.820331640552973,0.50474419564413
"CLDN4",0.8186746542514,0.44731256173593
"BCL2L1",0.818669149302095,0.539781043216391
"ERO1A",0.817958182260513,0.514972968321044
"ANO1",0.816499260698874,0.590581171915653
"PERP",0.815639973816689,0.470759665080189
"TRIM16",0.814149400267653,0.565103787574985
"MICAL2",0.81195082038124,0.597571759187092
"SLC6A14",0.811798118877278,0.623727055223658
"GPRC5A",0.811540229621224,0.610878145284083
"ALDOA",0.811496280582601,0.559927093152586
"KRT7",0.811095891333426,0.516188751284966
"ADGRF1",0.808562608862847,0.521302666595132
"MCU",0.808376936656763,0.487179592093864
"RHPN2",0.807151461629631,0.462189983613575
"PFKP",0.806940454051435,0.550256535227155
"BAIAP2L1",0.806322905657051,0.449211059200631
"S100A11",0.806187442501306,0.622318214135856
"CLTB",0.805314083580607,0.512233191843245
"EPHA2",0.805047583672911,0.489923553572439
"TNFRSF21",0.801655356711442,0.532424815805124
"C1orf116",0.800175295354518,0.411455448900791
"CD82",0.799671239721502,0.509415992722658
"PYGB",0.799124093232905,0.59199867941758
"ERBB2",0.798410231116206,0.479462740800213
"EFNA5",0.797076990024643,0.596084118724789
"INAVA",0.797020953240457,0.447150723541012
"NQO1",0.796208108305714,0.608034094341807
"MYH14",0.795619241447129,0.446544998175379
"SLPI",0.795430933485792,0.56723146282679
"ALS2CL",0.794812606785959,0.465938789318735
"VILL",0.794304362859811,0.528396931114222
"TNS4",0.793928333127694,0.57488094826005
"FUT3",0.793420787940473,0.439848232157924
"TTN",-0.793273592855433,-0.573110990074662
"MPZL2",0.793155382351665,0.547847062551737
"DLG5",0.792038855118421,0.503396177786959
"S100A14",0.791943828929353,0.499765608219923
"CEACAM5",0.791325529680491,0.602810815810449
"LMO7",0.78969691579523,0.506328699484806
"TMC5",0.789237412440417,0.520718178914405
"IQGAP3",0.785654276380031,0.510392053212999
"LAD1",0.784408125966238,0.444795323926799
"PCDH1",0.783876563243046,0.508737404662115
"MSLN",0.782261955352396,0.491855560877465
"CCDC141",-0.782202246849723,-0.559282906513688
"TOP6BL",0.781651422240552,0.508491887125496
"TBC1D2",0.781630375277906,0.543443463720711
"XDH",0.781209789244601,0.513698614105659
"AOX1",-0.78072799878987,-0.56955526333143
"TRIM16L",0.779710642112533,0.527691813958563
"SLC4A11",0.77915799623494,0.507906813989406
"TFAP2A",0.778860660281458,0.513496181755379
"KCNN4",0.777403394926277,0.558729630990434
