"","adjacent_non_tumor","Tumor"
"MEcyan",0.098948265004673,0.098948265004673
"MEturquoise",0.00164364796269744,0.00164364796269744
"MElightcyan",0.418350457729496,0.418350457729496
"MEyellow",2.1934671537105e-15,2.1934671537105e-15
"MEgreenyellow",1.398674229388e-05,1.398674229388e-05
"MEred",0.335175380038795,0.335175380038795
"MEgrey60",3.26389405376795e-05,3.26389405376795e-05
"MEsalmon",0.0468278016582047,0.0468278016582047
"MEtan",0.000257928505892179,0.000257928505892179
"MEblue",0.882161266809888,0.882161266809888
"MElightgreen",2.08133038235599e-11,2.08133038235599e-11
"MEpink",0.0174666375814784,0.0174666375814784
"MEgreen",3.02146601357099e-19,3.02146601357099e-19
"MEmidnightblue",0.00915754938662125,0.00915754938662125
"MEbrown",0.0120030756511159,0.0120030756511159
"MEmagenta",1.78316662745167e-14,1.78316662745167e-14
"MEblack",2.10653652677308e-29,2.10653652677308e-29
"MEpurple",8.64437769047863e-12,8.64437769047863e-12
"MEgrey",3.35059947238355e-07,3.35059947238355e-07
